boundary,runtime,status
official revision; all 28 decoder layers,Qwen/Qwen3-0.6B,full semantic gate passed
public weight mirror; official Meta repository access blocked,unsloth/Llama-3.2-1B,full semantic gate passed
native global layers pass; local sliding layers remain unchanged,google/gemma-3-1b-it,partial topology
native PRA model and portable K/V primitives,HF/PyTorch eager,measured
G00/G10/G01/G11 JSON mediation and portable SSE streaming,Standalone gateway,contract tested
pass-through and explicit text fallback,OpenAI-compatible HTTP,E0 implemented
typed event/RPC capture and explicit G10 fallback,DeepSeek/Pi agent bridges,contract tested
API implemented; CPU compiler absent and GPU too old for Triton,torch.compile,blocked on host
requires supported GPU/toolchain after profiling,Triton/custom CUDA,not run
scheduler-unaware identity/KV handoff,vLLM thin,contract only
compatible HTTP; no native PRA backend,SGLang/FreeToken,"E0 feasible, not run"
not installed on measured host,TensorRT-LLM/MLX,architectural only
