answer_id,condition,depth,distractor_attention_mass,evidence_attention_mass,evidence_condition,evidence_span_tokens,example_id,head,hop_over_window,layer,max_hop_distance_tokens,native_attention_mass,policy,query_pooling,query_token_count,seed,span_over_window,target_reference_uris,window
13,one_shot_selected,1,0.7854271829128265,0.0,selected,22,chain-100004-d1,0,0.6875,0,11,0.21457281708717346,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
13,one_shot_selected,1,0.9448060169816017,0.0,selected,22,chain-100004-d1,1,0.6875,0,11,0.055193983018398285,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
13,one_shot_selected,1,0.922854833304882,0.0,selected,22,chain-100004-d1,2,0.6875,0,11,0.07714516669511795,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
13,one_shot_selected,1,0.984463969245553,0.0,selected,22,chain-100004-d1,3,0.6875,0,11,0.015536030754446983,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
6,one_shot_selected,3,0.5804477334022522,0.15324704349040985,selected,22,chain-204733-d3,0,0.6875,0,11,0.26630522310733795,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
6,one_shot_selected,3,0.7550924345850945,0.07342106103897095,selected,22,chain-204733-d3,1,0.6875,0,11,0.1714865043759346,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
6,one_shot_selected,3,0.7794879451394081,0.10924036800861359,selected,22,chain-204733-d3,2,0.6875,0,11,0.1112716868519783,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
6,one_shot_selected,3,0.7036531399935484,0.026259971782565117,selected,22,chain-204733-d3,3,0.6875,0,11,0.2700868882238865,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
7,one_shot_selected,4,0.2170576974749565,0.6192827001214027,selected,7,chain-309462-d4,0,0.4375,0,7,0.16365960240364075,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
7,one_shot_selected,4,0.10219084471464157,0.7845806032419205,selected,7,chain-309462-d4,1,0.4375,0,7,0.11322855204343796,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
7,one_shot_selected,4,0.9949669521301985,0.000554173398995772,selected,7,chain-309462-d4,2,0.4375,0,7,0.004478874470805749,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
7,one_shot_selected,4,0.5027118176221848,0.03996582794934511,selected,7,chain-309462-d4,3,0.4375,0,7,0.45732235442847013,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
10,one_shot_selected,2,0.6419743001461029,0.191028892993927,selected,22,chain-414191-d2,0,0.6875,0,11,0.1669968068599701,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
10,one_shot_selected,2,0.05301160458475351,0.7047664523124695,selected,22,chain-414191-d2,1,0.6875,0,11,0.242221943102777,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
10,one_shot_selected,2,0.9223951902240515,0.05015585944056511,selected,22,chain-414191-d2,2,0.6875,0,11,0.027448950335383415,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
10,one_shot_selected,2,0.6193969547748566,0.22279900312423706,selected,22,chain-414191-d2,3,0.6875,0,11,0.15780404210090637,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
13,one_shot_selected,1,0.8501025885343552,0.0,selected,35,chain-518920-d1,0,0.3125,0,5,0.14989741146564484,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_selected,1,0.9934403016231954,0.0,selected,35,chain-518920-d1,1,0.3125,0,5,0.00655969837680459,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_selected,1,0.797144029289484,0.0,selected,35,chain-518920-d1,2,0.3125,0,5,0.20285597071051598,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_selected,1,0.853811003267765,0.0,selected,35,chain-518920-d1,3,0.3125,0,5,0.14618899673223495,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_selected,1,0.6752499043941498,0.16548489034175873,selected,33,chain-623649-d1,0,0.6875,0,11,0.1592652052640915,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
13,one_shot_selected,1,0.9916125293821096,0.0039991410449147224,selected,33,chain-623649-d1,1,0.6875,0,11,0.0043883295729756355,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
13,one_shot_selected,1,0.15789607912302017,0.4534882605075836,selected,33,chain-623649-d1,2,0.6875,0,11,0.3886156603693962,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
13,one_shot_selected,1,0.3859860524535179,0.5417569875717163,selected,33,chain-623649-d1,3,0.6875,0,11,0.07225695997476578,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
11,one_shot_selected,2,0.33271415531635284,0.39505475759506226,selected,14,chain-728378-d2,0,0.4375,0,7,0.2722310870885849,one_shot,final query token,6,17,0.875,"('controlled://728378/fact/4', 'controlled://728378/fact/0')",w16
11,one_shot_selected,2,0.018572709057480097,0.9705690597184002,selected,14,chain-728378-d2,1,0.4375,0,7,0.010858231224119663,one_shot,final query token,6,17,0.875,"('controlled://728378/fact/4', 'controlled://728378/fact/0')",w16
11,one_shot_selected,2,0.1426251195371151,0.32634230703115463,selected,14,chain-728378-d2,2,0.4375,0,7,0.5310325734317303,one_shot,final query token,6,17,0.875,"('controlled://728378/fact/4', 'controlled://728378/fact/0')",w16
11,one_shot_selected,2,0.2045634165406227,0.5650662779808044,selected,14,chain-728378-d2,3,0.4375,0,7,0.23037030547857285,one_shot,final query token,6,17,0.875,"('controlled://728378/fact/4', 'controlled://728378/fact/0')",w16
10,one_shot_selected,1,0.5687811598181725,0.22202728688716888,selected,35,chain-833107-d1,0,0.4375,0,7,0.20919155329465866,one_shot,final query token,5,17,2.1875,"('controlled://833107/fact/1',)",w16
10,one_shot_selected,1,0.026232076808810234,0.9599958658218384,selected,35,chain-833107-d1,1,0.4375,0,7,0.013772057369351387,one_shot,final query token,5,17,2.1875,"('controlled://833107/fact/1',)",w16
10,one_shot_selected,1,0.8249033587053418,0.01861502416431904,selected,35,chain-833107-d1,2,0.4375,0,7,0.15648161713033915,one_shot,final query token,5,17,2.1875,"('controlled://833107/fact/1',)",w16
10,one_shot_selected,1,0.9305354477837682,0.04554228484630585,selected,35,chain-833107-d1,3,0.4375,0,7,0.023922267369925976,one_shot,final query token,5,17,2.1875,"('controlled://833107/fact/1',)",w16
12,one_shot_selected,1,0.8408584594726562,0.0,selected,20,chain-937836-d1,0,0.3125,0,5,0.15914154052734375,one_shot,final query token,5,17,1.25,"('controlled://937836/fact/6',)",w16
12,one_shot_selected,1,0.9926789924502373,0.0,selected,20,chain-937836-d1,1,0.3125,0,5,0.007321007549762726,one_shot,final query token,5,17,1.25,"('controlled://937836/fact/6',)",w16
12,one_shot_selected,1,0.8426748625934124,0.0,selected,20,chain-937836-d1,2,0.3125,0,5,0.1573251374065876,one_shot,final query token,5,17,1.25,"('controlled://937836/fact/6',)",w16
12,one_shot_selected,1,0.984637662768364,0.0,selected,20,chain-937836-d1,3,0.3125,0,5,0.015362337231636047,one_shot,final query token,5,17,1.25,"('controlled://937836/fact/6',)",w16
8,one_shot_selected,1,0.8011343330144882,0.10853467881679535,selected,42,chain-1042565-d1,0,0.4375,0,7,0.09033098816871643,one_shot,final query token,5,17,2.625,"('controlled://1042565/fact/0',)",w16
8,one_shot_selected,1,0.06959448102861643,0.9202266931533813,selected,42,chain-1042565-d1,1,0.4375,0,7,0.010178825818002224,one_shot,final query token,5,17,2.625,"('controlled://1042565/fact/0',)",w16
8,one_shot_selected,1,0.7566550830379128,0.04396107792854309,selected,42,chain-1042565-d1,2,0.4375,0,7,0.19938383903354406,one_shot,final query token,5,17,2.625,"('controlled://1042565/fact/0',)",w16
8,one_shot_selected,1,0.2741491198539734,0.5671270489692688,selected,42,chain-1042565-d1,3,0.4375,0,7,0.1587238311767578,one_shot,final query token,5,17,2.625,"('controlled://1042565/fact/0',)",w16
12,one_shot_selected,2,0.4122479259967804,0.41870149970054626,selected,28,chain-1147294-d2,0,0.4375,0,7,0.16905057430267334,one_shot,final query token,6,17,1.75,"('controlled://1147294/fact/3', 'controlled://1147294/fact/1')",w16
12,one_shot_selected,2,0.010529637802392244,0.9857887399848551,selected,28,chain-1147294-d2,1,0.4375,0,7,0.0036816222127527,one_shot,final query token,6,17,1.75,"('controlled://1147294/fact/3', 'controlled://1147294/fact/1')",w16
12,one_shot_selected,2,0.24413473159074783,0.40749658830463886,selected,28,chain-1147294-d2,2,0.4375,0,7,0.3483686801046133,one_shot,final query token,6,17,1.75,"('controlled://1147294/fact/3', 'controlled://1147294/fact/1')",w16
12,one_shot_selected,2,0.2948439419269562,0.156392902135849,selected,28,chain-1147294-d2,3,0.4375,0,7,0.5487631559371948,one_shot,final query token,6,17,1.75,"('controlled://1147294/fact/3', 'controlled://1147294/fact/1')",w16
7,one_shot_selected,4,0.523604616522789,0.1555405706167221,selected,11,chain-1252023-d4,0,0.6875,0,11,0.3208548128604889,one_shot,final query token,8,17,0.6875,"('controlled://1252023/fact/13', 'controlled://1252023/fact/12', 'controlled://1252023/fact/4', 'controlled://1252023/fact/3')",w16
7,one_shot_selected,4,0.5037192208110355,0.4956418573856354,selected,11,chain-1252023-d4,1,0.6875,0,11,0.00063892180332914,one_shot,final query token,8,17,0.6875,"('controlled://1252023/fact/13', 'controlled://1252023/fact/12', 'controlled://1252023/fact/4', 'controlled://1252023/fact/3')",w16
7,one_shot_selected,4,0.6395360038150102,0.3435077667236328,selected,11,chain-1252023-d4,2,0.6875,0,11,0.016956229461356997,one_shot,final query token,8,17,0.6875,"('controlled://1252023/fact/13', 'controlled://1252023/fact/12', 'controlled://1252023/fact/4', 'controlled://1252023/fact/3')",w16
7,one_shot_selected,4,0.34370697662234306,0.20099632441997528,selected,11,chain-1252023-d4,3,0.6875,0,11,0.45529669895768166,one_shot,final query token,8,17,0.6875,"('controlled://1252023/fact/13', 'controlled://1252023/fact/12', 'controlled://1252023/fact/4', 'controlled://1252023/fact/3')",w16
9,one_shot_selected,1,0.8857450485229492,0.0,selected,35,chain-1356752-d1,0,0.3125,0,5,0.11425495147705078,one_shot,final query token,5,17,2.1875,"('controlled://1356752/fact/0',)",w16
9,one_shot_selected,1,0.8999964222311974,0.0,selected,35,chain-1356752-d1,1,0.3125,0,5,0.10000357776880264,one_shot,final query token,5,17,2.1875,"('controlled://1356752/fact/0',)",w16
9,one_shot_selected,1,0.48634347319602966,0.0,selected,35,chain-1356752-d1,2,0.3125,0,5,0.5136565268039703,one_shot,final query token,5,17,2.1875,"('controlled://1356752/fact/0',)",w16
9,one_shot_selected,1,0.8489023894071579,0.0,selected,35,chain-1356752-d1,3,0.3125,0,5,0.1510976105928421,one_shot,final query token,5,17,2.1875,"('controlled://1356752/fact/0',)",w16
13,one_shot_selected,2,0.5266906693577766,0.2777327299118042,selected,44,chain-1461481-d2,0,0.6875,0,11,0.19557660073041916,one_shot,final query token,6,17,2.75,"('controlled://1461481/fact/8', 'controlled://1461481/fact/7')",w16
13,one_shot_selected,2,0.9969883294543251,0.0011545554734766483,selected,44,chain-1461481-d2,1,0.6875,0,11,0.0018571150721982121,one_shot,final query token,6,17,2.75,"('controlled://1461481/fact/8', 'controlled://1461481/fact/7')",w16
13,one_shot_selected,2,0.6160848289728165,0.07362111657857895,selected,44,chain-1461481-d2,2,0.6875,0,11,0.3102940544486046,one_shot,final query token,6,17,2.75,"('controlled://1461481/fact/8', 'controlled://1461481/fact/7')",w16
13,one_shot_selected,2,0.5385328307747841,0.19420412182807922,selected,44,chain-1461481-d2,3,0.6875,0,11,0.2672630473971367,one_shot,final query token,6,17,2.75,"('controlled://1461481/fact/8', 'controlled://1461481/fact/7')",w16
12,one_shot_selected,2,0.9008592292666435,0.0,selected,15,chain-1566210-d2,0,0.3125,0,5,0.09914077073335648,one_shot,final query token,6,17,0.9375,"('controlled://1566210/fact/8', 'controlled://1566210/fact/0')",w16
12,one_shot_selected,2,0.7780650183558464,0.0,selected,15,chain-1566210-d2,1,0.3125,0,5,0.2219349816441536,one_shot,final query token,6,17,0.9375,"('controlled://1566210/fact/8', 'controlled://1566210/fact/0')",w16
12,one_shot_selected,2,0.9777196738868952,0.0,selected,15,chain-1566210-d2,2,0.3125,0,5,0.02228032611310482,one_shot,final query token,6,17,0.9375,"('controlled://1566210/fact/8', 'controlled://1566210/fact/0')",w16
12,one_shot_selected,2,0.8040053844451904,0.0,selected,15,chain-1566210-d2,3,0.3125,0,5,0.19599461555480957,one_shot,final query token,6,17,0.9375,"('controlled://1566210/fact/8', 'controlled://1566210/fact/0')",w16
12,one_shot_selected,1,0.644152507185936,0.21532794833183289,selected,55,chain-1670939-d1,0,0.6875,0,11,0.14051954448223114,one_shot,final query token,5,17,3.4375,"('controlled://1670939/fact/1',)",w16
12,one_shot_selected,1,0.957055477425456,0.019232669845223427,selected,55,chain-1670939-d1,1,0.6875,0,11,0.023711852729320526,one_shot,final query token,5,17,3.4375,"('controlled://1670939/fact/1',)",w16
12,one_shot_selected,1,0.6825732588768005,0.17595094442367554,selected,55,chain-1670939-d1,2,0.6875,0,11,0.14147579669952393,one_shot,final query token,5,17,3.4375,"('controlled://1670939/fact/1',)",w16
12,one_shot_selected,1,0.9067695364356041,0.06110655516386032,selected,55,chain-1670939-d1,3,0.6875,0,11,0.032123908400535583,one_shot,final query token,5,17,3.4375,"('controlled://1670939/fact/1',)",w16
13,one_shot_oracle,1,0.3681488260626793,0.5196071863174438,oracle,22,chain-100004-d1,0,0.6875,0,11,0.11224398761987686,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
13,one_shot_oracle,1,0.7841616719961166,0.13978458940982819,oracle,22,chain-100004-d1,1,0.6875,0,11,0.07605373859405518,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
13,one_shot_oracle,1,0.6851089671254158,0.0164127629250288,oracle,22,chain-100004-d1,2,0.6875,0,11,0.2984782699495554,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
13,one_shot_oracle,1,0.8648771345615387,0.03909708932042122,oracle,22,chain-100004-d1,3,0.6875,0,11,0.09602577611804008,one_shot,final query token,5,17,1.375,"('controlled://100004/fact/9',)",w16
6,one_shot_oracle,3,0.18435217440128326,0.6023290455341339,oracle,22,chain-204733-d3,0,0.6875,0,11,0.21331878006458282,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
6,one_shot_oracle,3,0.588528037071228,0.20741910859942436,oracle,22,chain-204733-d3,1,0.6875,0,11,0.2040528543293476,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
6,one_shot_oracle,3,0.3489589989185333,0.0652003064751625,oracle,22,chain-204733-d3,2,0.6875,0,11,0.5858406946063042,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
6,one_shot_oracle,3,0.5628262162208557,0.2091021458618343,oracle,22,chain-204733-d3,3,0.6875,0,11,0.22807163791731,one_shot,final query token,7,17,1.375,"('controlled://204733/fact/6', 'controlled://204733/fact/5', 'controlled://204733/fact/3')",w16
7,one_shot_oracle,4,0.0,0.8398472294211388,oracle,7,chain-309462-d4,0,0.4375,0,7,0.16015277057886124,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
7,one_shot_oracle,4,0.0,0.8898329772055149,oracle,7,chain-309462-d4,1,0.4375,0,7,0.11016702279448509,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
7,one_shot_oracle,4,0.0,0.35045317001640797,oracle,7,chain-309462-d4,2,0.4375,0,7,0.649546829983592,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
7,one_shot_oracle,4,0.0,0.10215669311583042,oracle,7,chain-309462-d4,3,0.4375,0,7,0.8978433068841696,one_shot,final query token,8,17,0.4375,"('controlled://309462/fact/9', 'controlled://309462/fact/7', 'controlled://309462/fact/6', 'controlled://309462/fact/3')",w16
10,one_shot_oracle,2,0.7198907434940338,0.20066887140274048,oracle,22,chain-414191-d2,0,0.6875,0,11,0.07944038510322571,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
10,one_shot_oracle,2,0.6248391270637512,0.014264613389968872,oracle,22,chain-414191-d2,1,0.6875,0,11,0.3608962595462799,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
10,one_shot_oracle,2,0.005879538366571069,0.9629364057909697,oracle,22,chain-414191-d2,2,0.6875,0,11,0.031184055842459202,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
10,one_shot_oracle,2,0.18237364664673805,0.48383721709251404,oracle,22,chain-414191-d2,3,0.6875,0,11,0.3337891362607479,one_shot,final query token,6,17,1.375,"('controlled://414191/fact/8', 'controlled://414191/fact/2')",w16
13,one_shot_oracle,1,0.6016712933778763,0.21367000043392181,oracle,35,chain-518920-d1,0,0.3125,0,5,0.1846587061882019,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_oracle,1,0.9848862215876579,0.005836636759340763,oracle,35,chain-518920-d1,1,0.3125,0,5,0.009277141653001308,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_oracle,1,0.3312932923436165,0.2023385763168335,oracle,35,chain-518920-d1,2,0.3125,0,5,0.46636813133955,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_oracle,1,0.762292318046093,0.09610150754451752,oracle,35,chain-518920-d1,3,0.3125,0,5,0.1416061744093895,one_shot,final query token,5,17,2.1875,"('controlled://518920/fact/0',)",w16
13,one_shot_oracle,1,0.7059378623962402,0.11633211374282837,oracle,33,chain-623649-d1,0,0.6875,0,11,0.1777300238609314,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
13,one_shot_oracle,1,0.9850730402395129,0.007858511060476303,oracle,33,chain-623649-d1,1,0.6875,0,11,0.0070684487000107765,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
13,one_shot_oracle,1,0.5391027517616749,0.07490970194339752,oracle,33,chain-623649-d1,2,0.6875,0,11,0.3859875462949276,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
13,one_shot_oracle,1,0.859259158372879,0.0558052696287632,oracle,33,chain-623649-d1,3,0.6875,0,11,0.08493557199835777,one_shot,final query token,5,17,2.0625,"('controlled://623649/fact/2',)",w16
11,one_shot_oracle,2,0.4469754695892334,0.27963872998952866,oracle,14,chain-728378-d2,0,0.4375,0,7,0.27338580042123795,one_shot,final query token,6,17,0.875,"('controlled://728378/fact/4', 'controlled://728378/fact/0')",w16
