seed,variant,dataset,example_id,condition,answer,generated_answer,trainable_parameter_count,residual_bottleneck,lora_rank,gold_mean_logprob_delta_vs_none,gold_first_token_rank_delta_vs_none,gold_first_token_margin_delta_vs_none,pra_off_gold_logprob_exact,teacher_forced_seconds,generation_seconds,active_memory_tokens,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,gold_first_token_margin,em,f1,answer_contained,trainable_parameter_percent,trainable_memory_bytes_fp32
11,fixed,hotpotqa,5adc3aff5542996e685252eb,none,Sir Derek George Jacobi,The star in the film *Up at,0,0,0,0.0,0,0.0,True,0.15941719996044412,2.955551299965009,0,-37.75213623046875,-7.550427436828613,0.001377216773107648,4,-6.5625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,oracle,Sir Derek George Jacobi,The star in the film *Up at,0,0,0,1.2682533264160156,-1,1.25,True,0.1621887999936007,0.7953130999812856,388,-31.410869598388672,-6.282174110412598,0.004644747357815504,3,-5.3125,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,routed,Sir Derek George Jacobi,The star in the film *Up at,0,0,0,-0.04796648025512695,10,-0.828125,True,0.16020169999683276,0.773056700010784,384,-37.99197006225586,-7.59839391708374,0.0005979319685138762,14,-7.390625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,direct_text,Sir Derek George Jacobi,The star in the film Up at the,0,0,0,6.5168256759643555,3,2.3125,True,0.224768599960953,0.7886505000060424,0,-5.168008804321289,-1.0336017608642578,0.0060163759626448154,7,-4.25,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,none,York County,Alfred is in the county of Maine,0,0,0,0.0,0,0.0,True,0.15418720000889152,0.7159925000160001,0,-24.007061004638672,-12.003530502319336,3.8167059790428226e-11,3508,-23.96875,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,oracle,York County,Alfred is in the county of Maine,0,0,0,2.179215431213379,-2582,4.3984375,True,0.1611896000104025,0.763964100042358,512,-19.648630142211914,-9.824315071105957,2.9785724997566376e-09,926,-19.5703125,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,routed,York County,Alfred is in the county of Maine,0,0,0,1.228017807006836,-1780,2.4453125,True,0.1597825000062585,0.7803384999861009,384,-21.551025390625,-10.7755126953125,4.4509820829041757e-10,1728,-21.5234375,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,direct_text,York County,"Alfred is in York County, Maine",0,0,0,1.3002290725708008,-2245,2.5625,True,0.3622101999935694,0.7826139000244439,0,-21.40660285949707,-10.703301429748535,5.050186380195498e-10,1263,-21.40625,0.0,0.5,1.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,none,Cushman,New Hampshire Route 118 runs,0,0,0,0.0,0,0.0,True,0.15393169998424128,0.715840200020466,0,-20.987762451171875,-10.493881225585938,8.551282371627167e-05,33,-9.265625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,oracle,Cushman,New Hampshire Route 118 runs,0,0,0,1.3604049682617188,-18,1.703125,True,0.16162850003456697,0.7586732999770902,384,-18.266952514648438,-9.133476257324219,0.0004576146020554006,15,-7.5625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,routed,Cushman,New Hampshire Route 118 runs,0,0,0,0.0062923431396484375,-17,0.875,True,0.16213720000814646,0.7708592000417411,384,-20.975177764892578,-10.487588882446289,0.00020928481535520405,16,-8.390625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,direct_text,Cushman,New Hampshire Route 118 runs,0,0,0,9.690613865852356,-31,8.203125,True,0.22289119998458773,0.7754303000401706,0,-1.606534719467163,-0.8032673597335815,0.20061127841472626,2,-1.0625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,none,Scott Treleaven,Edmund Mortimer.,0,0,0,0.0,0,0.0,True,0.15890460001537576,0.56343039998319,0,-7.853713512420654,-1.9634283781051636,0.0005700837937183678,2,-7.46875,0.0,0.0,0.0,0.0,0
