budget_parents,chain_completion,complete_oracle,dataset,example_id,method,mode,one_shot_oracle_hit_preservation,oracle_jaccard,oracle_precision,oracle_recall,seed,selected_parent_ids
2,1.0,0.0,hotpotqa,5ab2b863554299295394685a,parent_closure,actual,1.0,0.3333333333333333,0.5,0.5,11,"[1, 3]"
2,1.0,0.0,hotpotqa,5ab2b863554299295394685a,parent_closure,family_zscore,1.0,0.3333333333333333,0.5,0.5,11,"[1, 3]"
2,1.0,0.0,hotpotqa,5ab2b863554299295394685a,parent_closure,family_quantile,1.0,0.3333333333333333,0.5,0.5,11,"[1, 3]"
1,0.0,0.0,hotpotqa,5a710a915542994082a3e504,parent_closure,actual,1.0,0.0,0.0,0.0,11,[0]
1,0.0,0.0,hotpotqa,5a710a915542994082a3e504,parent_closure,family_zscore,1.0,0.0,0.0,0.0,11,[0]
1,0.0,0.0,hotpotqa,5a710a915542994082a3e504,parent_closure,family_quantile,1.0,0.0,0.0,0.0,11,[0]
1,0.0,0.0,hotpotqa,5adc93a4554299438c868e01,parent_closure,actual,1.0,0.3333333333333333,1.0,0.3333333333333333,11,[0]
1,0.0,0.0,hotpotqa,5adc93a4554299438c868e01,parent_closure,family_zscore,1.0,0.3333333333333333,1.0,0.3333333333333333,11,[0]
1,0.0,0.0,hotpotqa,5adc93a4554299438c868e01,parent_closure,family_quantile,1.0,0.3333333333333333,1.0,0.3333333333333333,11,[0]
1,0.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,parent_closure,actual,1.0,0.5,1.0,0.5,11,[4]
1,0.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,parent_closure,family_zscore,1.0,0.5,1.0,0.5,11,[4]
1,0.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,parent_closure,family_quantile,1.0,0.5,1.0,0.5,11,[4]
2,0.0,0.0,hotpotqa,5a8c8502554299585d9e36d0,parent_closure,actual,1.0,0.0,0.0,0.0,11,"[1, 2]"
2,0.0,0.0,hotpotqa,5a8c8502554299585d9e36d0,parent_closure,family_zscore,1.0,0.0,0.0,0.0,11,"[1, 2]"
2,0.0,0.0,hotpotqa,5a8c8502554299585d9e36d0,parent_closure,family_quantile,1.0,0.0,0.0,0.0,11,"[1, 2]"
2,0.0,0.0,hotpotqa,5a80d6be55429938b6142206,parent_closure,actual,1.0,0.0,0.0,0.0,11,"[0, 1]"
2,0.0,0.0,hotpotqa,5a80d6be55429938b6142206,parent_closure,family_zscore,1.0,0.0,0.0,0.0,11,"[0, 1]"
2,0.0,0.0,hotpotqa,5a80d6be55429938b6142206,parent_closure,family_quantile,1.0,0.0,0.0,0.0,11,"[0, 1]"
2,0.0,0.0,hotpotqa,5ab88c075542991b5579efbe,parent_closure,actual,1.0,0.0,0.0,0.0,11,"[0, 2]"
2,0.0,0.0,hotpotqa,5ab88c075542991b5579efbe,parent_closure,family_zscore,1.0,0.0,0.0,0.0,11,"[1, 2]"
2,0.0,0.0,hotpotqa,5ab88c075542991b5579efbe,parent_closure,family_quantile,1.0,0.0,0.0,0.0,11,"[1, 2]"
3,1.0,1.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,parent_closure,actual,1.0,0.3333333333333333,0.3333333333333333,1.0,11,"[0, 7, 10]"
3,1.0,1.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,parent_closure,family_zscore,1.0,0.3333333333333333,0.3333333333333333,1.0,11,"[0, 7, 10]"
3,1.0,1.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,parent_closure,family_quantile,1.0,0.3333333333333333,0.3333333333333333,1.0,11,"[0, 7, 10]"
3,1.0,1.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,parent_closure,actual,1.0,0.3333333333333333,0.3333333333333333,1.0,11,"[0, 3, 10]"
3,1.0,1.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,parent_closure,family_zscore,1.0,0.3333333333333333,0.3333333333333333,1.0,11,"[0, 3, 10]"
3,1.0,1.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,parent_closure,family_quantile,1.0,0.3333333333333333,0.3333333333333333,1.0,11,"[0, 3, 10]"
4,0.0,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,parent_closure,actual,1.0,0.2,0.25,0.5,11,"[0, 5, 10, 14]"
4,0.0,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,parent_closure,family_zscore,1.0,0.2,0.25,0.5,11,"[0, 5, 10, 14]"
4,0.0,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,parent_closure,family_quantile,1.0,0.2,0.25,0.5,11,"[0, 5, 10, 14]"
2,1.0,1.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,parent_closure,actual,1.0,0.5,0.5,1.0,11,"[0, 2]"
2,1.0,1.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,parent_closure,family_zscore,1.0,0.5,0.5,1.0,11,"[0, 2]"
2,1.0,1.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,parent_closure,family_quantile,1.0,0.5,0.5,1.0,11,"[0, 2]"
5,1.0,1.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,parent_closure,actual,1.0,0.2,0.2,1.0,11,"[0, 1, 4, 7, 9]"
