answer_correct,case_id,condition,constraint_violation,decode_calls_with_memory,decode_lifetime_pass,duplication_ratio,expected_token_id,expected_token_rank,format_compliant,generated_text,generation_seconds,layer_count,layers,merged_interval_count,overlap_removed_tokens,protocol,query_position_offset,raw_interval_count,raw_selected_tokens,required_evidence_use,scope,selected_reference_count,target_span_tokens,unique_native_tokens
0,independent_parallel-low-s11,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,52998,0,,0.6670786999166012,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,51,1,14,0.0,native,1,,14
0,linear_dependency-low-s23,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,50778,0,,0.4260576998349279,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,paper8-native-bug-ablation-v2,49,2,24,0.0,native,2,,24
0,join-low-s37,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,6595,0,,0.42879600008018315,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",3,0,paper8-native-bug-ablation-v2,49,3,59,0.0,native,3,,59
0,resumption-low-s53,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,13280,0,,0.3864929999690503,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,33,1,13,0.0,native,1,,13
0,conflicting_state-low-s71,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,8302,0,,0.4236091000493616,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,42,1,24,0.0,native,1,,24
0,independent_parallel-medium-s11,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,11670,0,,0.4184260000474751,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,52,1,22,0.0,native,1,,22
0,linear_dependency-medium-s23,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,4527,0,,0.40544550004415214,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,paper8-native-bug-ablation-v2,53,2,46,0.0,native,2,,46
0,join-medium-s37,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,6727,0,,0.5533422001171857,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",3,0,paper8-native-bug-ablation-v2,49,3,79,0.0,native,3,,79
0,resumption-medium-s53,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,5170,0,,0.4019861000124365,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,36,1,23,0.0,native,1,,23
0,conflicting_state-medium-s71,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,13863,0,,0.35916980006732047,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,41,1,23,0.0,native,1,,23
0,independent_parallel-high-s11,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,25305,0,,0.3999746998306364,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,56,1,26,0.0,native,1,,26
0,linear_dependency-high-s23,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,17020,0,,0.36068529984913766,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,paper8-native-bug-ablation-v2,55,2,50,0.0,native,2,,50
0,join-high-s37,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,1876,0,,0.4591645000036806,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",3,0,paper8-native-bug-ablation-v2,49,3,84,0.0,native,3,,84
0,resumption-high-s53,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,3262,0,,0.4158259001560509,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,38,1,25,0.0,native,1,,25
0,conflicting_state-high-s71,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,28,1,1.0,11692,17652,0,,0.3988884000573307,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,41,1,23,0.0,native,1,,23
