query_id,split,hardness_level,language,condition,required_tool,top_tool,rank,top1,recall_at_3,recall_at_5
search_user-h0-en-0,audit,H0,en,manual_lexical,search_user,search_user,1,1,1,1
search_user-h0-en-1,test,H0,en,manual_lexical,search_user,search_user,1,1,1,1
search_user-h0-en-2,validation,H0,en,manual_lexical,search_user,search_document,3,0,1,1
search_user-h1-en-0,validation,H1,en,manual_lexical,search_user,update_user,4,0,0,1
search_user-h1-en-1,test,H1,en,manual_lexical,search_user,get_repository,15,0,0,0
search_user-h2-en-0,validation,H2,en,manual_lexical,search_user,create_report,12,0,0,0
search_user-h2-en-1,test,H2,en,manual_lexical,search_user,create_report,16,0,0,0
search_user-h3-en-0,validation,H3,en,manual_lexical,search_user,search_user,1,1,1,1
search_user-h3-en-1,test,H3,en,manual_lexical,search_user,update_user,12,0,0,0
search_user-h4-en-0,validation,H4,en,manual_lexical,search_user,delete_user,2,0,1,1
search_user-h4-en-1,test,H4,en,manual_lexical,search_user,extract_metadata,18,0,0,0
search_user-h5-pt-0,validation,H5,pt,manual_lexical,search_user,create_issue,13,0,0,0
search_user-h5-pt-1,test,H5,pt,manual_lexical,search_user,extract_metadata,16,0,0,0
search_user-h5-es-0,validation,H5,es,manual_lexical,search_user,export_document,11,0,0,0
search_user-h5-es-1,test,H5,es,manual_lexical,search_user,validate_user,13,0,0,0
search_user-h5-fr-0,validation,H5,fr,manual_lexical,search_user,validate_user,14,0,0,0
search_user-h5-fr-1,test,H5,fr,manual_lexical,search_user,create_report,14,0,0,0
get_user-h0-en-0,audit,H0,en,manual_lexical,get_user,get_user,1,1,1,1
get_user-h0-en-1,test,H0,en,manual_lexical,get_user,get_user,1,1,1,1
get_user-h0-en-2,validation,H0,en,manual_lexical,get_user,read_document,4,0,0,1
get_user-h1-en-0,validation,H1,en,manual_lexical,get_user,read_document,2,0,1,1
get_user-h1-en-1,test,H1,en,manual_lexical,get_user,update_user,6,0,0,0
get_user-h2-en-0,validation,H2,en,manual_lexical,get_user,notify_user,12,0,0,0
get_user-h2-en-1,test,H2,en,manual_lexical,get_user,update_document,9,0,0,0
get_user-h3-en-0,validation,H3,en,manual_lexical,get_user,read_document,2,0,1,1
get_user-h3-en-1,test,H3,en,manual_lexical,get_user,read_document,2,0,1,1
get_user-h4-en-0,validation,H4,en,manual_lexical,get_user,get_user,1,1,1,1
get_user-h4-en-1,test,H4,en,manual_lexical,get_user,get_repository,15,0,0,0
get_user-h5-pt-0,validation,H5,pt,manual_lexical,get_user,read_document,18,0,0,0
get_user-h5-pt-1,test,H5,pt,manual_lexical,get_user,create_report,17,0,0,0
get_user-h5-es-0,validation,H5,es,manual_lexical,get_user,update_document,16,0,0,0
get_user-h5-es-1,test,H5,es,manual_lexical,get_user,create_report,15,0,0,0
get_user-h5-fr-0,validation,H5,fr,manual_lexical,get_user,delete_user,14,0,0,0
get_user-h5-fr-1,test,H5,fr,manual_lexical,get_user,search_document,18,0,0,0
validate_user-h0-en-0,audit,H0,en,manual_lexical,validate_user,validate_user,1,1,1,1
validate_user-h0-en-1,test,H0,en,manual_lexical,validate_user,validate_user,1,1,1,1
validate_user-h0-en-2,validation,H0,en,manual_lexical,validate_user,update_user,8,0,0,0
validate_user-h1-en-0,validation,H1,en,manual_lexical,validate_user,create_report,3,0,1,1
validate_user-h1-en-1,test,H1,en,manual_lexical,validate_user,validate_user,1,1,1,1
validate_user-h2-en-0,validation,H2,en,manual_lexical,validate_user,search_user,3,0,1,1
validate_user-h2-en-1,test,H2,en,manual_lexical,validate_user,export_document,15,0,0,0
validate_user-h3-en-0,validation,H3,en,manual_lexical,validate_user,create_issue,17,0,0,0
validate_user-h3-en-1,test,H3,en,manual_lexical,validate_user,read_document,16,0,0,0
validate_user-h4-en-0,validation,H4,en,manual_lexical,validate_user,update_user,13,0,0,0
validate_user-h4-en-1,test,H4,en,manual_lexical,validate_user,update_user,8,0,0,0
validate_user-h5-pt-0,validation,H5,pt,manual_lexical,validate_user,create_report,7,0,0,0
