tokenizer,target,perturbation,mode,stop_token_strategy,rank,top1,recall_at_4,query_ms,candidate_rows
qwen3_0_6b,7,clean,token_exact,idf,1,1,1,142.27040018886328,63
qwen3_0_6b,7,clean,token_ngram,idf,1,1,1,145.0517000630498,63
qwen3_0_6b,7,clean,token_edit,idf,8,0,0,136.65660005062819,63
qwen3_0_6b,7,clean,token_approx,idf,8,0,0,143.52039992809296,63
qwen3_0_6b,7,clean,token_weighted,none,8,0,0,155.4523000959307,63
qwen3_0_6b,7,clean,token_weighted,fixed,8,0,0,141.7910000309348,63
qwen3_0_6b,7,clean,token_weighted,idf,8,0,0,150.09130001999438,63
qwen3_0_6b,7,clean,cascade,none,1,1,1,148.92779989168048,63
qwen3_0_6b,7,clean,cascade,fixed,1,1,1,140.49210003577173,63
qwen3_0_6b,7,clean,cascade,idf,1,1,1,233.00809995271266,63
qwen3_0_6b,7,case,token_exact,idf,1,1,1,138.14730010926723,63
qwen3_0_6b,7,case,token_ngram,idf,1,1,1,140.7658001407981,63
qwen3_0_6b,7,case,token_edit,idf,8,0,0,146.6523997951299,63
qwen3_0_6b,7,case,token_approx,idf,8,0,0,144.92330001667142,63
qwen3_0_6b,7,case,token_weighted,none,8,0,0,146.53120003640652,63
qwen3_0_6b,7,case,token_weighted,fixed,8,0,0,138.84459994733334,63
qwen3_0_6b,7,case,token_weighted,idf,8,0,0,154.21020006760955,63
qwen3_0_6b,7,case,cascade,none,1,1,1,149.48859997093678,63
qwen3_0_6b,7,case,cascade,fixed,1,1,1,150.05659987218678,63
qwen3_0_6b,7,case,cascade,idf,1,1,1,140.26040001772344,63
qwen3_0_6b,7,leading_space,token_exact,idf,1,1,1,144.633200019598,63
qwen3_0_6b,7,leading_space,token_ngram,idf,1,1,1,157.39469998516142,63
qwen3_0_6b,7,leading_space,token_edit,idf,8,0,0,151.36720007285476,63
qwen3_0_6b,7,leading_space,token_approx,idf,8,0,0,146.50460006669164,63
qwen3_0_6b,7,leading_space,token_weighted,none,8,0,0,149.1668000817299,63
qwen3_0_6b,7,leading_space,token_weighted,fixed,8,0,0,159.46149989031255,63
qwen3_0_6b,7,leading_space,token_weighted,idf,8,0,0,145.91690013185143,63
qwen3_0_6b,7,leading_space,cascade,none,1,1,1,156.53380006551743,63
qwen3_0_6b,7,leading_space,cascade,fixed,1,1,1,148.99230003356934,63
qwen3_0_6b,7,leading_space,cascade,idf,1,1,1,147.81989995390177,63
qwen3_0_6b,7,punctuation,token_exact,idf,1,1,1,154.15409998968244,63
qwen3_0_6b,7,punctuation,token_ngram,idf,1,1,1,152.53610000945628,63
qwen3_0_6b,7,punctuation,token_edit,idf,8,0,0,159.74040003493428,63
qwen3_0_6b,7,punctuation,token_approx,idf,8,0,0,143.9636000432074,63
qwen3_0_6b,7,punctuation,token_weighted,none,8,0,0,152.886199997738,63
qwen3_0_6b,7,punctuation,token_weighted,fixed,8,0,0,152.25429995916784,63
qwen3_0_6b,7,punctuation,token_weighted,idf,8,0,0,148.48209987394512,63
qwen3_0_6b,7,punctuation,cascade,none,1,1,1,151.0001001879573,63
qwen3_0_6b,7,punctuation,cascade,fixed,1,1,1,176.10529996454716,63
qwen3_0_6b,7,punctuation,cascade,idf,1,1,1,160.1954000070691,63
qwen3_0_6b,7,hyphenation,token_exact,idf,1,1,1,178.17700002342463,63
qwen3_0_6b,7,hyphenation,token_ngram,idf,1,1,1,202.42779981344938,63
qwen3_0_6b,7,hyphenation,token_edit,idf,1,1,1,185.50710007548332,63
qwen3_0_6b,7,hyphenation,token_approx,idf,1,1,1,194.5996000431478,63
qwen3_0_6b,7,hyphenation,token_weighted,none,1,1,1,179.47499989531934,63
qwen3_0_6b,7,hyphenation,token_weighted,fixed,1,1,1,165.50689982250333,63
qwen3_0_6b,7,hyphenation,token_weighted,idf,1,1,1,196.17460016161203,63
qwen3_0_6b,7,hyphenation,cascade,none,1,1,1,181.70870002359152,63
qwen3_0_6b,7,hyphenation,cascade,fixed,1,1,1,160.44649994000793,63
qwen3_0_6b,7,hyphenation,cascade,idf,1,1,1,190.7349000684917,63
qwen3_0_6b,7,concatenation,token_exact,idf,1,1,1,153.1661998014897,63
qwen3_0_6b,7,concatenation,token_ngram,idf,1,1,1,158.7277001235634,63
qwen3_0_6b,7,concatenation,token_edit,idf,8,0,0,168.555699987337,63
qwen3_0_6b,7,concatenation,token_approx,idf,8,0,0,158.06600009091198,63
qwen3_0_6b,7,concatenation,token_weighted,none,8,0,0,143.2655998505652,63
qwen3_0_6b,7,concatenation,token_weighted,fixed,8,0,0,152.74629998020828,63
qwen3_0_6b,7,concatenation,token_weighted,idf,8,0,0,178.9323000703007,63
qwen3_0_6b,7,concatenation,cascade,none,1,1,1,149.2063000332564,63
qwen3_0_6b,7,concatenation,cascade,fixed,1,1,1,147.00779994018376,63
qwen3_0_6b,7,concatenation,cascade,idf,1,1,1,158.96010003052652,63
qwen3_0_6b,7,split,token_exact,idf,8,0,0,249.31350001133978,60
qwen3_0_6b,7,split,token_ngram,idf,8,0,0,170.2959998510778,60
qwen3_0_6b,7,split,token_edit,idf,8,0,0,172.04060009680688,60
qwen3_0_6b,7,split,token_approx,idf,1,1,1,213.36980001069605,60
qwen3_0_6b,7,split,token_weighted,none,8,0,0,256.6349001135677,60
qwen3_0_6b,7,split,token_weighted,fixed,8,0,0,157.34200016595423,60
qwen3_0_6b,7,split,token_weighted,idf,1,1,1,148.04470003582537,60
qwen3_0_6b,7,split,cascade,none,8,0,0,188.57370014302433,60
qwen3_0_6b,7,split,cascade,fixed,8,0,0,205.0221001263708,60
qwen3_0_6b,7,split,cascade,idf,1,1,1,210.61459998600185,60
qwen3_0_6b,7,typo,token_exact,idf,8,0,0,257.232999894768,60
qwen3_0_6b,7,typo,token_ngram,idf,8,0,0,165.05800001323223,60
qwen3_0_6b,7,typo,token_edit,idf,8,0,0,149.40260001458228,60
qwen3_0_6b,7,typo,token_approx,idf,8,0,0,152.24910015240312,60
qwen3_0_6b,7,typo,token_weighted,none,8,0,0,156.85449982993305,60
qwen3_0_6b,7,typo,token_weighted,fixed,8,0,0,170.687299920246,60
qwen3_0_6b,7,typo,token_weighted,idf,8,0,0,136.55230007134378,60
qwen3_0_6b,7,typo,cascade,none,8,0,0,145.81850008107722,60
qwen3_0_6b,7,typo,cascade,fixed,8,0,0,157.07469987682998,60
