answer_correct,case_id,condition,constraint_violation,decode_calls_with_memory,decode_lifetime_pass,duplication_ratio,expected_token_id,expected_token_rank,format_compliant,generated_text,generation_seconds,layer_count,layers,merged_interval_count,overlap_removed_tokens,protocol,query_position_offset,raw_interval_count,raw_selected_tokens,required_evidence_use,scope,selected_reference_count,target_span_tokens,unique_native_tokens
0,independent_parallel-low-s11,NATIVE_FULL_SESSION,1,672,1,1.0,11692,1,1,ANSWER= ANSWER=VER=VER=VERIFICATION_CODE=pear=pearIAL=pearLIVER=pear,11.18035089992918,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,paper8-native-bug-ablation-v2,51,8,347,0.0,native,8,full,347
1,independent_parallel-low-s11,NATIVE_FULL_TASK_SCOPE,0,224,1,1.0,11692,1,1,ANSWER= saffronicorn,2.407801500055939,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,51,1,51,1.0,native,1,full,51
1,independent_parallel-low-s11,A1_REQUIRED_RECORDS_FULL,0,224,1,1.0,11692,1,1,ANSWER= saffronicorn,2.620694200042635,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,51,1,51,1.0,native,1,full,51
1,independent_parallel-low-s11,A2_SELECTED_RECORDS_FULL,0,224,1,2.0,11692,1,1,ANSWER= saffronicorn,2.5250023000407964,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,paper8-native-bug-ablation-v2,51,2,102,1.0,native,1,full,51
1,independent_parallel-low-s11,A3_SELECTED_PLUS_REQUIRED_FULL,0,224,1,1.0,11692,1,1,ANSWER= saffronicorn,2.7246320000849664,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,paper8-native-bug-ablation-v2,51,1,51,1.0,native,1,full,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_512,0,224,1,2.0,11692,1,1,ANSWER= saffronicorn,3.1503710001707077,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,paper8-native-bug-ablation-v2,51,2,102,1.0,native,1,512,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_256,0,224,1,2.0,11692,1,1,ANSWER= saffronicorn,2.4073689999058843,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,paper8-native-bug-ablation-v2,51,2,102,1.0,native,1,256,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_128,0,224,1,2.0,11692,1,1,ANSWER= saffronicorn,2.9692230001091957,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,paper8-native-bug-ablation-v2,51,2,102,1.0,native,1,128,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_96,0,224,1,2.0,11692,1,1,ANSWER= saffronicorn,2.9607792999595404,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,paper8-native-bug-ablation-v2,51,2,102,1.0,native,1,96,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_64,0,224,1,2.0,11692,1,1,ANSWER= saffronicorn,2.800902900053188,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,paper8-native-bug-ablation-v2,51,2,102,1.0,native,1,64,51
