family_system,external_text,native_kv,lexical,semantic,iterative_state_dependent,adaptive_channel,citation_key
DPR,yes,no,no,dense,no,no,karpukhin2020dpr
RAG,yes,no,no,dense,"token-conditioned generation, not path traversal",no,lewis2020rag
BM25+dense/RRF,yes,no,yes,yes,typically no,fixed fusion,cormack2009rrf
MDR,yes,no,no,dense,yes,no,xiong2021mdr
IRRR,yes,no,query generation,neural reranking,yes,no,qi2021irrr
RETRO,yes,no,no,nearest-neighbor chunks,chunk-conditioned decoder,no,borgeaud2022retro
Memorizing Transformer,no,activation memory,no,key similarity,decode-state query,no,wu2022memorizing
RetrievalAttention,no,yes,no,attention-aware vector search,decode-state query,no,liu2025retrievalattention
BLINK,entity catalog,no,mention boundary,bi-encoder+reranker,no,no,wu2020blink
PRA Paper 2.6,logical references,candidate memory; not materialized here,exact/BM25/approximate,native hidden-state gist,root and successor,exported action; controller deferred,this_work
