all_candidate_full_tokens,argument_semantic_correct,call_parse_valid,candidate_count,capability_choice_correct,catalog_size,condition,context_fit,disclosure_ratio_a,disclosure_ratio_total,enum_type_valid,execution_acceptance,execution_reason,full_schema_tokens_avoided,full_schemas_materialized,generated_name,generated_text,generated_tokens,generation_error,host_rejection,materialization_seconds,max_candidates,model_invocations,native_kv_bytes,phase_a_capability_tokens,phase_a_ttft_seconds,phase_b_capability_tokens,phase_b_ttft_seconds,phase_transition_overhead_seconds,policy,prompt_tokens,query_id,required_argument_coverage,retry_count,schema_valid_call,scoring_device,seed,selected_name,target_in_palette,target_name,task_success,total_capability_tokens,total_ttft_seconds,unsafe_exposure,unsafe_tool_choice,wall_clock_seconds,wrong_tool_choice,wrong_tool_execution_attempt
1243,0,1,4,0,512,C0_full_all_one_pass,1,1.002413515687852,1.002413515687852,1,1,executed,1243,4,get_deliverable_00148,"<tool_call>\n{""name"": ""get_deliverable_00148"", ""arguments"": {""artifact_id"": ""u17""}}\n</tool_call>",31,,0,0.000170400133356452,4,1,142901248,1246,8.359844599850476,0,0.0,0.0,A1_fused,638,get_user-h2-en-1,0,0,1,cuda,11,get_deliverable_00148,1,get_user,0,1246,8.359844599850476,0,0,14.028112000087276,1,1
1243,0,0,4,0,512,C1_compact_only,1,0.4569589702333065,0.4569589702333065,1,0,malformed_call,1243,0,,"{""name"":""get_ticket_00345"", ""arguments"": {""issue_id"": ""u17""}}",25,,1,0.00020970008336007595,4,1,65142784,568,1.3536536998581141,0,0.0,0.0,A1_fused,631,get_user-h2-en-1,0,0,0,cuda,11,,1,get_user,0,568,1.3536536998581141,0,0,5.036913000047207,0,0
1243,0,1,4,0,512,C2_compact_to_full,1,0.4569589702333065,0.7216411906677394,1,1,executed,914,1,get_ticket_00345,"<tool_call>\n{""name"": ""get_ticket_00345"", ""arguments"": {""issue_id"": ""u17""}}\n</tool_call>",43,,0,0.0019036999437958002,4,2,102875136,568,1.374879099894315,329,0.5134091998916119,0.001764299813657999,A1_fused,886,get_user-h2-en-1,0,0,1,cuda,11,get_ticket_00345,1,get_user,0,897,1.888288299785927,0,0,8.382796899881214,1,1
1243,1,1,4,1,512,C3_oracle_to_full,1,0.2083668543845535,0.2083668543845535,1,1,executed,1243,1,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,,0,0.00011850008741021156,4,1,29704192,259,0.5296724999789149,0,0.0,0.0,A1_fused,205,get_user-h2-en-1,1,0,1,cuda,11,get_user,1,get_user,1,259,0.5296724999789149,0,0,4.226112900068983,0,0
2552,0,1,8,0,512,C0_full_all_one_pass,1,1.0027429467084639,1.0027429467084639,1,1,executed,2552,8,get_ticket_00345,"<tool_call>\n{""name"": ""get_ticket_00345"", ""arguments"": {""issue_id"": ""u17""}}\n</tool_call>",29,,0,0.0002999999560415745,8,1,293486592,2559,3.278096300084144,0,0.0,0.0,A1_fused,1206,get_user-h2-en-1,0,0,1,cuda,11,get_ticket_00345,1,get_user,0,2559,3.278096300084144,0,0,8.074932700023055,1,1
2552,0,0,8,0,512,C1_compact_only,1,0.46003134796238243,0.46003134796238243,1,0,malformed_call,2552,0,,"{""name"":""get_ticket_00345""}",13,,1,0.0002142000012099743,8,1,134643712,1174,3.30877669993788,0,0.0,0.0,A1_fused,1237,get_user-h2-en-1,0,0,0,cuda,11,,1,get_user,0,1174,3.30877669993788,0,0,5.536298400023952,0,0
2552,0,1,8,0,512,C2_compact_to_full,1,0.46003134796238243,0.5889498432601881,1,1,executed,2223,1,get_ticket_00345,"<tool_call>\n{""name"": ""get_ticket_00345"", ""arguments"": {""issue_id"": ""u17""}}\n</tool_call>",43,,0,0.004181599942967296,8,2,172376064,1174,3.2043832999188453,329,0.41654479992575943,0.002088499953970313,A1_fused,1492,get_user-h2-en-1,0,0,1,cuda,11,get_ticket_00345,1,get_user,0,1503,3.6209280998446047,0,0,9.95302279992029,1,1
2552,1,1,8,1,512,C3_oracle_to_full,1,0.10148902821316615,0.10148902821316615,1,1,executed,2552,1,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,,0,0.00014679995365440845,8,1,29704192,259,0.575959200039506,0,0.0,0.0,A1_fused,205,get_user-h2-en-1,1,0,1,cuda,11,get_user,1,get_user,1,259,0.575959200039506,0,0,3.7496604998596013,0,0
3208,1,1,10,0,512,C0_full_all_one_pass,1,1.0028054862842892,1.0028054862842892,1,1,executed,3208,10,get_profile_00437,"<tool_call>\n{""name"": ""get_profile_00437"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",29,,0,0.000678099924698472,10,1,368951296,3217,4.1734642998781055,0,0.0,0.0,A1_fused,1490,get_user-h2-en-1,1,0,1,cuda,11,get_profile_00437,1,get_user,0,3217,4.1734642998781055,0,0,9.625387399923056,1,1
3208,0,0,10,0,512,C1_compact_only,1,0.4613466334164589,0.4613466334164589,1,0,malformed_call,3208,0,,"{""name"":""get_ticket_00345"", ""arguments"":{}}",18,,1,0.0002544000744819641,10,1,169738240,1480,5.376704200170934,0,0.0,0.0,A1_fused,1543,get_user-h2-en-1,0,0,0,cuda,11,,1,get_user,0,1480,5.376704200170934,0,0,8.867699100170285,0,0
