experiment,model_tier,position_mode,expected,observed,matches_expectation,interpretation,follow_up
source_position_repair,tiny,absolute,logical offsets reduce positional fragmentation,final-layer RMSE 0.6769 -> 0.1129; lower in 5/5 seeds; layer-0 offset RMSE is exactly zero,yes,Source-relative continuity repairs position reset independently of positional family.,Validate on pretrained models with representable source coordinates.
context_overlap_after_offset,tiny,absolute,overlap reduces deeper contextualization error,final-layer RMSE 0.1129 -> 0.0670; lower in 5/5 seeds; encoding cost 1.000x -> 1.375x,yes,"Overlap is a cost-quality control, not a monotonic repair at every scale.",Test historical windows and boundary-aware encoding on larger models.
source_position_repair,tiny,rope,logical offsets reduce positional fragmentation,final-layer RMSE 0.6745 -> 0.1373; lower in 5/5 seeds; layer-0 offset RMSE is exactly zero,yes,Source-relative continuity repairs position reset independently of positional family.,Validate on pretrained models with representable source coordinates.
context_overlap_after_offset,tiny,rope,overlap reduces deeper contextualization error,final-layer RMSE 0.1373 -> 0.0690; lower in 5/5 seeds; encoding cost 1.000x -> 1.375x,yes,"Overlap is a cost-quality control, not a monotonic repair at every scale.",Test historical windows and boundary-aware encoding on larger models.
source_position_repair,small,absolute,logical offsets reduce positional fragmentation,final-layer RMSE 0.7193 -> 0.3066; lower in 5/5 seeds; layer-0 offset RMSE is exactly zero,yes,Source-relative continuity repairs position reset independently of positional family.,Validate on pretrained models with representable source coordinates.
context_overlap_after_offset,small,absolute,overlap reduces deeper contextualization error,final-layer RMSE 0.3066 -> 0.3103; lower in 2/5 seeds; encoding cost 1.000x -> 1.375x,no,"Overlap is a cost-quality control, not a monotonic repair at every scale.",Test historical windows and boundary-aware encoding on larger models.
source_position_repair,small,rope,logical offsets reduce positional fragmentation,final-layer RMSE 0.7498 -> 0.4235; lower in 5/5 seeds; layer-0 offset RMSE is exactly zero,yes,Source-relative continuity repairs position reset independently of positional family.,Validate on pretrained models with representable source coordinates.
context_overlap_after_offset,small,rope,overlap reduces deeper contextualization error,final-layer RMSE 0.4235 -> 0.2990; lower in 4/5 seeds; encoding cost 1.000x -> 1.375x,partly,"Overlap is a cost-quality control, not a monotonic repair at every scale.",Test historical windows and boundary-aware encoding on larger models.
pre_post_reset_parity,all,rope,pre- and post-RoPE K match at identical effective positions,maximum paired output-metric discrepancy 0.000e+00,yes,Deferred binding has no semantic advantage when effective positions are unchanged.,Use pre-positional K only when retrieval-time rebinding is required.
pre_post_offset_parity,all,rope,pre- and post-RoPE K match at identical effective positions,maximum paired output-metric discrepancy 0.000e+00,yes,Deferred binding has no semantic advantage when effective positions are unchanged.,Use pre-positional K only when retrieval-time rebinding is required.
intentional_rope_rebinding,all,rope,K-only rebinding changes attention,mean output RMSE 0.0931; mean top-token agreement 0.050,yes,Pre-positional K permits a new relative displacement; it does not make relocation invariant.,Evaluate task-trained rebinding policies for independent URI memory.
deferred_rotation_runtime,small,rope,deferred rotation is slower in the unfused prototype,warm path 0.1791 -> 0.6487 ms; position reconstruction 0.0145 ms; RoPE transform 0.3838 ms,yes,"The transform, not compact offset reconstruction, dominates prototype overhead.",Measure a fused attention kernel before making systems claims.
head_offset,tiny,absolute,logical offsets lower continuous-head loss,seed-mean loss 2.3837 -> 0.7304; lower in 5/5 seeds,yes,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_overlap,tiny,absolute,overlap lowers loss after positions are fixed,seed-mean loss 0.7304 -> 0.6474; lower in 2/5 seeds,partly,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_oracle,tiny,absolute,constructed-evidence oracle is no worse than routed selection,seed-mean loss 0.6474 -> 0.1384; lower in 3/5 seeds,partly,Selection and attention utilization can dominate a positionally correct representation.,Use more examples and a task-specific evidence oracle on pretrained models.
head_offset,tiny,rope,logical offsets lower continuous-head loss,seed-mean loss 2.5910 -> 1.5547; lower in 3/5 seeds,partly,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_overlap,tiny,rope,overlap lowers loss after positions are fixed,seed-mean loss 1.5547 -> 0.8763; lower in 5/5 seeds,yes,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_oracle,tiny,rope,constructed-evidence oracle is no worse than routed selection,seed-mean loss 0.8763 -> 1.0124; lower in 2/5 seeds,no,Selection and attention utilization can dominate a positionally correct representation.,Use more examples and a task-specific evidence oracle on pretrained models.
head_offset,small,absolute,logical offsets lower continuous-head loss,seed-mean loss 3.8306 -> 0.6681; lower in 5/5 seeds,yes,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_overlap,small,absolute,overlap lowers loss after positions are fixed,seed-mean loss 0.6681 -> 0.0030; lower in 4/5 seeds,partly,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_oracle,small,absolute,constructed-evidence oracle is no worse than routed selection,seed-mean loss 0.0030 -> 0.0022; lower in 3/5 seeds,partly,Selection and attention utilization can dominate a positionally correct representation.,Use more examples and a task-specific evidence oracle on pretrained models.
head_offset,small,rope,logical offsets lower continuous-head loss,seed-mean loss 6.7887 -> 6.2249; lower in 5/5 seeds,yes,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_overlap,small,rope,overlap lowers loss after positions are fixed,seed-mean loss 6.2249 -> 3.0396; lower in 5/5 seeds,yes,"End-task effects combine representation, routing, and attention utilization.",Use more examples and a task-specific evidence oracle on pretrained models.
head_oracle,small,rope,constructed-evidence oracle is no worse than routed selection,seed-mean loss 3.0396 -> 0.0012; lower in 4/5 seeds,partly,Selection and attention utilization can dominate a positionally correct representation.,Use more examples and a task-specific evidence oracle on pretrained models.
native_operation_bound,all,absolute_and_rope,all continuous-head operations stay within 32 tokens,maximum operation 24; violations 0,yes,Logical continuity does not require a dense logical-length model call.,Repeat with pretrained models whose position range exceeds the operation budget.
