case_id,condition,policy,seed,hypothesis_recall,address_recall,tr_address,hypotheses
entity-custodian,explicit,compact_only,11,1,0,0,[]
entity-custodian,explicit,compact_only,23,1,0,0,[]
entity-custodian,explicit,compact_only,37,1,0,0,[]
entity-custodian,explicit,compact_only,53,1,0,0,[]
entity-custodian,explicit,compact_only,71,1,0,0,[]
entity-custodian,explicit,ccr_explicit,11,1,0,0,[]
entity-custodian,explicit,ccr_explicit,23,1,0,0,[]
entity-custodian,explicit,ccr_explicit,37,1,0,0,[]
entity-custodian,explicit,ccr_explicit,53,1,0,0,[]
entity-custodian,explicit,ccr_explicit,71,1,0,0,[]
entity-custodian,explicit,ccr_proactive,11,1,1,1,[]
entity-custodian,explicit,ccr_proactive,23,1,1,1,[]
entity-custodian,explicit,ccr_proactive,37,1,1,1,[]
entity-custodian,explicit,ccr_proactive,53,1,1,1,[]
entity-custodian,explicit,ccr_proactive,71,1,1,1,[]
entity-custodian,explicit,ccr_mixed,11,1,1,1,[]
entity-custodian,explicit,ccr_mixed,23,1,1,1,[]
entity-custodian,explicit,ccr_mixed,37,1,1,1,[]
entity-custodian,explicit,ccr_mixed,53,1,1,1,[]
entity-custodian,explicit,ccr_mixed,71,1,1,1,[]
entity-custodian,explicit,generic_proactive,11,1,1,1,[]
entity-custodian,explicit,generic_proactive,23,1,1,1,[]
entity-custodian,explicit,generic_proactive,37,1,1,1,[]
entity-custodian,explicit,generic_proactive,53,1,1,1,[]
entity-custodian,explicit,generic_proactive,71,1,1,1,[]
entity-custodian,explicit,action_conditioned,11,1,1,1,[]
entity-custodian,explicit,action_conditioned,23,1,1,1,[]
entity-custodian,explicit,action_conditioned,37,1,1,1,[]
entity-custodian,explicit,action_conditioned,53,1,1,1,[]
entity-custodian,explicit,action_conditioned,71,1,1,1,[]
entity-custodian,explicit,full_context,11,1,1,1,[]
entity-custodian,explicit,full_context,23,1,1,1,[]
entity-custodian,explicit,full_context,37,1,1,1,[]
entity-custodian,explicit,full_context,53,1,1,1,[]
entity-custodian,explicit,full_context,71,1,1,1,[]
entity-custodian,latent,compact_only,11,0,0,0,[]
entity-custodian,latent,compact_only,23,0,0,0,[]
entity-custodian,latent,compact_only,37,0,0,0,[]
entity-custodian,latent,compact_only,53,0,0,0,[]
entity-custodian,latent,compact_only,71,0,0,0,[]
entity-custodian,latent,ccr_explicit,11,0,0,0,[]
entity-custodian,latent,ccr_explicit,23,0,0,0,[]
entity-custodian,latent,ccr_explicit,37,0,0,0,[]
entity-custodian,latent,ccr_explicit,53,0,0,0,[]
entity-custodian,latent,ccr_explicit,71,0,0,0,[]
entity-custodian,latent,ccr_proactive,11,0,0,0,[]
entity-custodian,latent,ccr_proactive,23,0,0,0,[]
entity-custodian,latent,ccr_proactive,37,0,0,0,[]
entity-custodian,latent,ccr_proactive,53,0,0,0,[]
entity-custodian,latent,ccr_proactive,71,0,0,0,[]
entity-custodian,latent,ccr_mixed,11,0,0,0,[]
entity-custodian,latent,ccr_mixed,23,0,0,0,[]
entity-custodian,latent,ccr_mixed,37,0,0,0,[]
entity-custodian,latent,ccr_mixed,53,0,0,0,[]
entity-custodian,latent,ccr_mixed,71,0,0,0,[]
entity-custodian,latent,generic_proactive,11,0,0,0,[]
entity-custodian,latent,generic_proactive,23,0,0,0,[]
entity-custodian,latent,generic_proactive,37,0,0,0,[]
entity-custodian,latent,generic_proactive,53,0,0,0,[]
entity-custodian,latent,generic_proactive,71,0,0,0,[]
entity-custodian,latent,action_conditioned,11,1,1,1,[]
entity-custodian,latent,action_conditioned,23,1,1,1,[]
entity-custodian,latent,action_conditioned,37,1,1,1,[]
entity-custodian,latent,action_conditioned,53,1,1,1,[]
entity-custodian,latent,action_conditioned,71,1,1,1,[]
entity-custodian,latent,full_context,11,1,1,1,[]
entity-custodian,latent,full_context,23,1,1,1,[]
entity-custodian,latent,full_context,37,1,1,1,[]
entity-custodian,latent,full_context,53,1,1,1,[]
entity-custodian,latent,full_context,71,1,1,1,[]
alias-bluebird,explicit,compact_only,11,1,0,0,[]
alias-bluebird,explicit,compact_only,23,1,0,0,[]
alias-bluebird,explicit,compact_only,37,1,0,0,[]
alias-bluebird,explicit,compact_only,53,1,0,0,[]
alias-bluebird,explicit,compact_only,71,1,0,0,[]
alias-bluebird,explicit,ccr_explicit,11,1,0,0,[]
alias-bluebird,explicit,ccr_explicit,23,1,0,0,[]
alias-bluebird,explicit,ccr_explicit,37,1,0,0,[]
alias-bluebird,explicit,ccr_explicit,53,1,0,0,[]
alias-bluebird,explicit,ccr_explicit,71,1,0,0,[]
alias-bluebird,explicit,ccr_proactive,11,1,1,1,[]
alias-bluebird,explicit,ccr_proactive,23,1,1,1,[]
alias-bluebird,explicit,ccr_proactive,37,1,1,1,[]
alias-bluebird,explicit,ccr_proactive,53,1,1,1,[]
alias-bluebird,explicit,ccr_proactive,71,1,1,1,[]
alias-bluebird,explicit,ccr_mixed,11,1,1,1,[]
alias-bluebird,explicit,ccr_mixed,23,1,1,1,[]
alias-bluebird,explicit,ccr_mixed,37,1,1,1,[]
alias-bluebird,explicit,ccr_mixed,53,1,1,1,[]
alias-bluebird,explicit,ccr_mixed,71,1,1,1,[]
alias-bluebird,explicit,generic_proactive,11,1,1,1,[]
alias-bluebird,explicit,generic_proactive,23,1,1,1,[]
alias-bluebird,explicit,generic_proactive,37,1,1,1,[]
alias-bluebird,explicit,generic_proactive,53,1,1,1,[]
alias-bluebird,explicit,generic_proactive,71,1,1,1,[]
alias-bluebird,explicit,action_conditioned,11,1,1,1,[]
alias-bluebird,explicit,action_conditioned,23,1,1,1,[]
alias-bluebird,explicit,action_conditioned,37,1,1,1,[]
alias-bluebird,explicit,action_conditioned,53,1,1,1,[]
alias-bluebird,explicit,action_conditioned,71,1,1,1,[]
alias-bluebird,explicit,full_context,11,1,1,1,[]
alias-bluebird,explicit,full_context,23,1,1,1,[]
alias-bluebird,explicit,full_context,37,1,1,1,[]
alias-bluebird,explicit,full_context,53,1,1,1,[]
alias-bluebird,explicit,full_context,71,1,1,1,[]
alias-bluebird,latent,compact_only,11,0,0,0,[]
alias-bluebird,latent,compact_only,23,0,0,0,[]
alias-bluebird,latent,compact_only,37,0,0,0,[]
alias-bluebird,latent,compact_only,53,0,0,0,[]
alias-bluebird,latent,compact_only,71,0,0,0,[]
alias-bluebird,latent,ccr_explicit,11,0,0,0,[]
alias-bluebird,latent,ccr_explicit,23,0,0,0,[]
alias-bluebird,latent,ccr_explicit,37,0,0,0,[]
alias-bluebird,latent,ccr_explicit,53,0,0,0,[]
alias-bluebird,latent,ccr_explicit,71,0,0,0,[]
alias-bluebird,latent,ccr_proactive,11,0,0,0,[]
alias-bluebird,latent,ccr_proactive,23,0,0,0,[]
alias-bluebird,latent,ccr_proactive,37,0,0,0,[]
alias-bluebird,latent,ccr_proactive,53,0,0,0,[]
alias-bluebird,latent,ccr_proactive,71,0,0,0,[]
alias-bluebird,latent,ccr_mixed,11,0,0,0,[]
alias-bluebird,latent,ccr_mixed,23,0,0,0,[]
alias-bluebird,latent,ccr_mixed,37,0,0,0,[]
alias-bluebird,latent,ccr_mixed,53,0,0,0,[]
alias-bluebird,latent,ccr_mixed,71,0,0,0,[]
alias-bluebird,latent,generic_proactive,11,0,0,0,[]
alias-bluebird,latent,generic_proactive,23,0,0,0,[]
alias-bluebird,latent,generic_proactive,37,0,0,0,[]
alias-bluebird,latent,generic_proactive,53,0,0,0,[]
alias-bluebird,latent,generic_proactive,71,0,0,0,[]
alias-bluebird,latent,action_conditioned,11,1,1,1,[]
alias-bluebird,latent,action_conditioned,23,1,1,1,[]
alias-bluebird,latent,action_conditioned,37,1,1,1,[]
alias-bluebird,latent,action_conditioned,53,1,1,1,[]
alias-bluebird,latent,action_conditioned,71,1,1,1,[]
alias-bluebird,latent,full_context,11,1,1,1,[]
alias-bluebird,latent,full_context,23,1,1,1,[]
alias-bluebird,latent,full_context,37,1,1,1,[]
alias-bluebird,latent,full_context,53,1,1,1,[]
alias-bluebird,latent,full_context,71,1,1,1,[]
date-certificate,explicit,compact_only,11,1,0,0,[]
date-certificate,explicit,compact_only,23,1,0,0,[]
date-certificate,explicit,compact_only,37,1,0,0,[]
date-certificate,explicit,compact_only,53,1,0,0,[]
date-certificate,explicit,compact_only,71,1,0,0,[]
date-certificate,explicit,ccr_explicit,11,1,0,0,[]
date-certificate,explicit,ccr_explicit,23,1,0,0,[]
date-certificate,explicit,ccr_explicit,37,1,0,0,[]
date-certificate,explicit,ccr_explicit,53,1,0,0,[]
date-certificate,explicit,ccr_explicit,71,1,0,0,[]
date-certificate,explicit,ccr_proactive,11,1,1,1,[]
date-certificate,explicit,ccr_proactive,23,1,1,1,[]
date-certificate,explicit,ccr_proactive,37,1,1,1,[]
date-certificate,explicit,ccr_proactive,53,1,1,1,[]
date-certificate,explicit,ccr_proactive,71,1,1,1,[]
date-certificate,explicit,ccr_mixed,11,1,1,1,[]
date-certificate,explicit,ccr_mixed,23,1,1,1,[]
date-certificate,explicit,ccr_mixed,37,1,1,1,[]
date-certificate,explicit,ccr_mixed,53,1,1,1,[]
date-certificate,explicit,ccr_mixed,71,1,1,1,[]
date-certificate,explicit,generic_proactive,11,1,1,1,[]
date-certificate,explicit,generic_proactive,23,1,1,1,[]
date-certificate,explicit,generic_proactive,37,1,1,1,[]
date-certificate,explicit,generic_proactive,53,1,1,1,[]
date-certificate,explicit,generic_proactive,71,1,1,1,[]
date-certificate,explicit,action_conditioned,11,1,1,1,[]
date-certificate,explicit,action_conditioned,23,1,1,1,[]
date-certificate,explicit,action_conditioned,37,1,1,1,[]
date-certificate,explicit,action_conditioned,53,1,1,1,[]
date-certificate,explicit,action_conditioned,71,1,1,1,[]
date-certificate,explicit,full_context,11,1,1,1,[]
date-certificate,explicit,full_context,23,1,1,1,[]
date-certificate,explicit,full_context,37,1,1,1,[]
date-certificate,explicit,full_context,53,1,1,1,[]
date-certificate,explicit,full_context,71,1,1,1,[]
date-certificate,latent,compact_only,11,0,0,0,[]
date-certificate,latent,compact_only,23,0,0,0,[]
date-certificate,latent,compact_only,37,0,0,0,[]
date-certificate,latent,compact_only,53,0,0,0,[]
date-certificate,latent,compact_only,71,0,0,0,[]
date-certificate,latent,ccr_explicit,11,0,0,0,[]
date-certificate,latent,ccr_explicit,23,0,0,0,[]
date-certificate,latent,ccr_explicit,37,0,0,0,[]
date-certificate,latent,ccr_explicit,53,0,0,0,[]
date-certificate,latent,ccr_explicit,71,0,0,0,[]
date-certificate,latent,ccr_proactive,11,0,0,0,[]
date-certificate,latent,ccr_proactive,23,0,0,0,[]
date-certificate,latent,ccr_proactive,37,0,0,0,[]
date-certificate,latent,ccr_proactive,53,0,0,0,[]
date-certificate,latent,ccr_proactive,71,0,0,0,[]
date-certificate,latent,ccr_mixed,11,0,0,0,[]
date-certificate,latent,ccr_mixed,23,0,0,0,[]
date-certificate,latent,ccr_mixed,37,0,0,0,[]
