auxiliary_grade_available,auxiliary_grade_provenance,auxiliary_resolved,auxiliary_status,baseline_auxiliary_resolved,baseline_official_error,baseline_official_outcome,baseline_official_resolved,baseline_official_score,baseline_strategy,call_delta,calls,cumulative_full_tokens,cumulative_materialized_tokens,cumulative_reported_completion_tokens,cumulative_total_model_tokens,divergence_right_censored_at,efficiency_qualified,evidence_class,failure_aware_paired_net_saving_fraction,failure_taxonomy,first_action_divergence,first_action_divergence_kind,first_selection_change,legacy_pair_id_mismatch,legacy_pairing_identity_mismatches,legacy_pairing_missing_fields,manifest_schema_version,missing_pairing_identity,model,official_error,official_failure_class,official_outcome,official_resolved,official_score,pair_id,paired_net_saving_fraction,paired_total_model_token_saving_fraction,pairing_identity,pairing_reason,pairing_role,reacquired_observation_tokens,reacquisition_adjusted_gross_saving_fraction,reacquisitions,reported_usage_coverage_calls,saving_before_first_action_divergence_fraction,saving_fraction,saving_through_first_divergence_fraction,seed,selection_to_action_divergence_lag,solution_state_score,source,strategy,strategy_family,task_id,tool_call_delta,tool_calls,trajectory_outcome
False,,,unavailable,,False,resolved,True,True,full,13,40,241115,241115,3728,244843,,False,autonomous_task_quality,-0.463733715381907,primary_failure_workspace_unavailable,2,command_mismatch,3,,{},"{'candidate': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256'], 'baseline': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']}",1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,True,empty_submission,empty_submission,False,False,paper85-autonomous-nondominated-tail95-v1:django__django-15277:seed0,-0.463733715381907,-0.45852743194138323,"{'repository_revision': '9cf62e029a5e3f80fc6e7d23d83c8e5477552268', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.django_1776_django-15277:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '9be1e0e6a74e3b15ceafbfe37285872d52679a579f2eb2fec161397351c195ac', 'scaffold_identity_sha256': None}","historical schema-1 same-host repeat control; all recorded immutable fields match, while missing identity fields are disclosed",full_repeat_control,0,0.0,0,40,0.0,0.0,0.0,0,,,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task01-paired-full-a,full,full,django__django-15277,13,40,candidate_grader_error
False,,,unavailable,,,,,,,,27,164726,164726,3144,167870,,,autonomous_task_quality,,,,,,,,,1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,paper85-autonomous-nondominated-tail95-v1:django__django-15277:seed0,,,"{'repository_revision': '9cf62e029a5e3f80fc6e7d23d83c8e5477552268', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.django_1776_django-15277:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '9be1e0e6a74e3b15ceafbfe37285872d52679a579f2eb2fec161397351c195ac', 'scaffold_identity_sha256': None}",,,0,0.0,0,27,,0.0,,0,,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task01-paired-full-b,full,full,django__django-15277,,27,
False,,,unavailable,,False,resolved,True,True,full,4,31,160078,150339,2906,153245,,True,autonomous_task_quality,0.08733897502519339,,2,command_mismatch,2,"{'candidate': 'tail95:django15277:seed0', 'baseline': 'paper85-autonomous-nondominated-tail95-v1:django__django-15277:seed0'}","{'repository_revision': {'candidate': 'ab560838a1c6beaf4f25f9516a3db861ee61cded', 'baseline': '9cf62e029a5e3f80fc6e7d23d83c8e5477552268'}}","{'candidate': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256'], 'baseline': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']}",1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,tail95:django15277:seed0,0.08733897502519339,0.08712098647763145,"{'repository_revision': 'ab560838a1c6beaf4f25f9516a3db861ee61cded', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.django_1776_django-15277:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '9be1e0e6a74e3b15ceafbfe37285872d52679a579f2eb2fec161397351c195ac', 'scaffold_identity_sha256': None}",historical schema-1 same-host backfilled FULL control; only repository revision and campaign pair label differ among recorded immutable fields,policy_candidate,0,0.060839090943165204,0,31,0.0,0.0608390909431652,0.0,0,0,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task01-run-a-ollama-fix2,"matched_token_tail;H=2,T=4;B=0.95;cfg=eef2e2d0b681",matched_token_tail,django__django-15277,4,31,both_resolved
False,,,available,,False,resolved,True,True,full,-12,15,50612,47596,1359,48955,,True,autonomous_task_quality,0.7110595777230067,,3,command_mismatch,3,"{'candidate': 'tail95:django15277:seed0', 'baseline': 'paper85-autonomous-nondominated-tail95-v1:django__django-15277:seed0'}","{'repository_revision': {'candidate': 'ab560838a1c6beaf4f25f9516a3db861ee61cded', 'baseline': '9cf62e029a5e3f80fc6e7d23d83c8e5477552268'}}","{'candidate': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256'], 'baseline': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']}",1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,tail95:django15277:seed0,0.7110595777230067,0.7083755286829094,"{'repository_revision': 'ab560838a1c6beaf4f25f9516a3db861ee61cded', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.django_1776_django-15277:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '9be1e0e6a74e3b15ceafbfe37285872d52679a579f2eb2fec161397351c195ac', 'scaffold_identity_sha256': None}",historical schema-1 same-host backfilled FULL control; only repository revision and campaign pair label differ among recorded immutable fields,policy_candidate,0,0.05959061092231092,0,15,0.0,0.05959061092231088,0.0,0,0,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task01-run-b-ollama,"matched_token_tail;H=2,T=4;B=0.95;cfg=eef2e2d0b681",matched_token_tail,django__django-15277,-12,15,both_resolved
False,,,unavailable,,,,,,,,21,164253,164253,2274,166527,,,autonomous_task_quality,,,,,,,,,1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,paper85-autonomous-nondominated-tail95-v1:pytest-dev__pytest-7982:seed0,,,"{'repository_revision': 'b490edee74a6133ae7dced915e71145313ebfda5', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/admin.jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-7982:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '2519903004fb3c25aceec7ab3c1859d016aaa35c17cb7d8ff7bc0d983fe134f0', 'scaffold_identity_sha256': None}",,,0,0.0,0,21,,0.0,,0,,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task02-full-a,full,full,pytest-dev__pytest-7982,,21,
False,,,unavailable,,False,resolved,True,True,full,2,23,155905,155905,2253,158158,,True,autonomous_task_quality,0.05082403365539745,,4,command_mismatch,3,,{},"{'candidate': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256'], 'baseline': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']}",1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,paper85-autonomous-nondominated-tail95-v1:pytest-dev__pytest-7982:seed0,0.05082403365539745,0.05025611462405499,"{'repository_revision': 'b490edee74a6133ae7dced915e71145313ebfda5', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/admin.jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-7982:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '2519903004fb3c25aceec7ab3c1859d016aaa35c17cb7d8ff7bc0d983fe134f0', 'scaffold_identity_sha256': None}","historical schema-1 same-host repeat control; all recorded immutable fields match, while missing identity fields are disclosed",full_repeat_control,0,0.0,0,23,0.0,0.0,0.0,0,1,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task02-full-b,full,full,pytest-dev__pytest-7982,2,23,both_resolved
False,,,unavailable,,False,resolved,True,True,full,-9,12,55377,49647,1781,51428,,True,autonomous_task_quality,0.6977406805355153,,5,command_mismatch,3,,"{'repository_revision': {'candidate': '50dae3e44d73af102dd3a24d429770c33b06e20e', 'baseline': 'b490edee74a6133ae7dced915e71145313ebfda5'}}","{'candidate': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256'], 'baseline': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']}",1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,paper85-autonomous-nondominated-tail95-v1:pytest-dev__pytest-7982:seed0,0.6977406805355153,0.6911732031442348,"{'repository_revision': '50dae3e44d73af102dd3a24d429770c33b06e20e', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/admin.jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-7982:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '2519903004fb3c25aceec7ab3c1859d016aaa35c17cb7d8ff7bc0d983fe134f0', 'scaffold_identity_sha256': None}","historical schema-1 pair; repository revision differs only because result-classification and reporting code changed, and all other recorded immutable fields match",policy_candidate,0,0.10347256081044477,0,12,0.11142440447253277,0.10347256081044476,0.11142440447253277,0,2,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task02-matched-tail95-a,"matched_token_tail;H=2,T=4;B=0.95;cfg=eef2e2d0b681",matched_token_tail,pytest-dev__pytest-7982,-9,12,both_resolved
False,,,unavailable,,False,resolved,True,True,full,-4,17,85514,76919,1614,78533,,True,autonomous_task_quality,0.5317041393460089,,4,command_mismatch,3,,"{'repository_revision': {'candidate': '50dae3e44d73af102dd3a24d429770c33b06e20e', 'baseline': 'b490edee74a6133ae7dced915e71145313ebfda5'}}","{'candidate': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256'], 'baseline': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']}",1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,paper85-autonomous-nondominated-tail95-v1:pytest-dev__pytest-7982:seed0,0.5317041393460089,0.5284068049025084,"{'repository_revision': '50dae3e44d73af102dd3a24d429770c33b06e20e', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/admin.jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-7982:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': '2519903004fb3c25aceec7ab3c1859d016aaa35c17cb7d8ff7bc0d983fe134f0', 'scaffold_identity_sha256': None}","historical schema-1 pair; repository revision differs only because result-classification and reporting code changed, and all other recorded immutable fields match",policy_candidate,0,0.10050985803494164,0,17,0.10150575730735167,0.10050985803494161,0.10150575730735167,0,1,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task02-matched-tail95-b,"matched_token_tail;H=2,T=4;B=0.95;cfg=eef2e2d0b681",matched_token_tail,pytest-dev__pytest-7982,-4,17,both_resolved
False,,,unavailable,,,,,,,,20,167561,167561,2697,170258,,,autonomous_task_quality,,,,,,,,,1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,paper85-autonomous-nondominated-tail95-v1:scikit-learn__scikit-learn-13135:seed0,,,"{'repository_revision': 'b490edee74a6133ae7dced915e71145313ebfda5', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13135:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': 'bb305ff99aa63948587d30c15063ec656f7d9a58266c66f428c6b6c4413539e8', 'scaffold_identity_sha256': None}",,,0,0.0,0,20,,0.0,,0,,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task05-full-b,full,full,scikit-learn__scikit-learn-13135,,20,
False,,,unavailable,,False,resolved,True,True,full,3,23,199109,199109,3027,202136,,True,autonomous_task_quality,-0.18827770185186288,,3,command_mismatch,4,,"{'repository_revision': {'candidate': '9cf62e029a5e3f80fc6e7d23d83c8e5477552268', 'baseline': 'b490edee74a6133ae7dced915e71145313ebfda5'}}","{'candidate': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256'], 'baseline': ['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']}",1,"['environment_image_id', 'scaffold_identity_sha256', 'workspace_source_identity_sha256']",qwen3-coder:30b,False,,resolved,True,True,paper85-autonomous-nondominated-tail95-v1:scikit-learn__scikit-learn-13135:seed0,-0.18827770185186288,-0.1872334926993151,"{'repository_revision': '9cf62e029a5e3f80fc6e7d23d83c8e5477552268', 'benchmark_card_sha256': 'beb18be7e5dedf202e0238997c955e68e53c0d38ccfd442fdcb80cb723ad2311', 'benchmark_ids_sha256': '4ff7cc9618293ccd8b70e86f60caa2378a47b6bde217a4f203e2851422eeeceb', 'dataset': 'princeton-nlp/SWE-bench_Verified', 'dataset_revision': 'c104f840cc67f8b6eec6f759ebc8b2693d585d4a', 'split': 'test', 'served_model': 'qwen3-coder:30b', 'model_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer': '/Users/jorge.simao/git/rd/paper85-qwen3coder-tokenizer@06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'tokenizer_revision': '06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca', 'temperature': 0.0, 'top_p': 1.0, 'seed': 0, 'max_calls': 40, 'max_completion_tokens': 1024, 'harness_version_requested': '2.4.6', 'harness_version_observed': '2.4.6', 'grader_version_requested': '4.1.0', 'grader_version_observed': '4.1.0', 'docker_platform': 'linux/amd64', 'environment_image': 'docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13135:latest', 'environment_image_id': None, 'workspace_source_identity_sha256': None, 'instrument_observations': True, 'agent_behavior_sha256': 'bb305ff99aa63948587d30c15063ec656f7d9a58266c66f428c6b6c4413539e8', 'scaffold_identity_sha256': None}","historical schema-1 pair; repository revision differs only because result-classification, resident-image preflight, and reporting code changed",full_repeat_control,0,0.0,0,23,0.0,0.0,0.0,0,,True,docs/papers/shared/results/paper8_5_agent_memory/autonomous_nondominated_tail95_v1/task05-full-c,full,full,scikit-learn__scikit-learn-13135,3,23,both_resolved
