active_layers,case_id,condition,exact_short_answer,family,first_token_rank,latency_seconds,max_logit_error_vs_visible,mean_logit_error_vs_visible,model,native_tokens_per_layer,physical_kv_bytes,record_id,top_token_equal_visible,topology_coverage
4,capital,VISIBLE_PREFIX,1,gemma3,1,0.23182079987600446,0.0,0.0,gemma,0,0,record-capital,1,global_layers_only_local_sliding_layers_native
4,capital,NATIVE_FULL_REFERENCE,1,gemma3,1,0.3872121998574585,6.1171875,0.7783482074737549,gemma,7,28672,record-capital,1,global_layers_only_local_sliding_layers_native
4,capital,NATIVE_SELECTED_FULL_RECORD,1,gemma3,1,0.2940066000446677,6.1171875,0.7783482074737549,gemma,7,28672,record-capital,1,global_layers_only_local_sliding_layers_native
2,capital,NATIVE_CANONICAL_SPARSE_PROFILE,1,gemma3,1,0.28662180015817285,7.13671875,1.186887264251709,gemma,7,14336,record-capital,1,global_layers_only_local_sliding_layers_native
4,color,VISIBLE_PREFIX,1,gemma3,1,0.2537148999981582,0.0,0.0,gemma,0,0,record-color,1,global_layers_only_local_sliding_layers_native
4,color,NATIVE_FULL_REFERENCE,1,gemma3,1,0.3090520999394357,6.859375,0.9083326458930969,gemma,6,24576,record-color,1,global_layers_only_local_sliding_layers_native
4,color,NATIVE_SELECTED_FULL_RECORD,1,gemma3,1,0.32569450000301003,6.859375,0.9083326458930969,gemma,6,24576,record-color,1,global_layers_only_local_sliding_layers_native
2,color,NATIVE_CANONICAL_SPARSE_PROFILE,1,gemma3,1,0.2440092999022454,5.8984375,1.2635910511016846,gemma,6,12288,record-color,1,global_layers_only_local_sliding_layers_native
4,code,VISIBLE_PREFIX,1,gemma3,1,0.24930260004475713,0.0,0.0,gemma,0,0,record-code,1,global_layers_only_local_sliding_layers_native
4,code,NATIVE_FULL_REFERENCE,1,gemma3,1,0.3123658001422882,9.541015625,1.513410210609436,gemma,8,32768,record-code,1,global_layers_only_local_sliding_layers_native
4,code,NATIVE_SELECTED_FULL_RECORD,1,gemma3,1,0.2958120000548661,9.541015625,1.513410210609436,gemma,8,32768,record-code,1,global_layers_only_local_sliding_layers_native
2,code,NATIVE_CANONICAL_SPARSE_PROFILE,1,gemma3,1,0.3115876999218017,8.02093505859375,1.3858574628829956,gemma,8,16384,record-code,1,global_layers_only_local_sliding_layers_native
