answer_correct,case_id,condition,constraint_violation,expected_token_id,expected_token_rank,format_compliant,generated_text,generation_seconds,protocol,required_evidence_use,scope,decode_calls_with_memory,decode_lifetime_pass,duplication_ratio,layer_count,layers,merged_interval_count,overlap_removed_tokens,query_position_offset,raw_interval_count,raw_selected_tokens,selected_reference_count,target_span_tokens,unique_native_tokens
0,independent_parallel-low-s11,VISIBLE_FULL_SESSION,0,11692,1,1,ANSWER=safron,2.612187300110236,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
0,independent_parallel-low-s11,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=safrond,1.115969100035727,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
0,independent_parallel-low-s11,NATIVE_FULL_SESSION,1,11692,1,1,ANSWER= ANSWER=VER=VER=VERIFICATION_CODE=pear=pearIAL=pearLIVER=pear,11.18035089992918,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,51,8,347,8,full,347
1,independent_parallel-low-s11,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= saffronicorn,2.407801500055939,paper8-native-bug-ablation-v2,1.0,native,224,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,51,1,51,1,full,51
1,independent_parallel-low-s11,A1_REQUIRED_RECORDS_FULL,0,11692,1,1,ANSWER= saffronicorn,2.620694200042635,paper8-native-bug-ablation-v2,1.0,native,224,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,51,1,51,1,full,51
1,independent_parallel-low-s11,A2_SELECTED_RECORDS_FULL,0,11692,1,1,ANSWER= saffronicorn,2.5250023000407964,paper8-native-bug-ablation-v2,1.0,native,224,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,51,2,102,1,full,51
1,independent_parallel-low-s11,A3_SELECTED_PLUS_REQUIRED_FULL,0,11692,1,1,ANSWER= saffronicorn,2.7246320000849664,paper8-native-bug-ablation-v2,1.0,native,224,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,51,1,51,1,full,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_512,0,11692,1,1,ANSWER= saffronicorn,3.1503710001707077,paper8-native-bug-ablation-v2,1.0,native,224,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,51,2,102,1,512,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_256,0,11692,1,1,ANSWER= saffronicorn,2.4073689999058843,paper8-native-bug-ablation-v2,1.0,native,224,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,51,2,102,1,256,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_128,0,11692,1,1,ANSWER= saffronicorn,2.9692230001091957,paper8-native-bug-ablation-v2,1.0,native,224,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,51,2,102,1,128,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_96,0,11692,1,1,ANSWER= saffronicorn,2.9607792999595404,paper8-native-bug-ablation-v2,1.0,native,224,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,51,2,102,1,96,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_64,0,11692,1,1,ANSWER= saffronicorn,2.800902900053188,paper8-native-bug-ablation-v2,1.0,native,224,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,51,51,2,102,1,64,51
1,independent_parallel-low-s11,A4_A5_SELECTED_WINDOW_32,0,11692,1,1,ANSWER= saffronicorn,3.6701086000539362,paper8-native-bug-ablation-v2,1.0,native,224,1,1.2549019607843137,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,13,51,2,64,1,32,51
0,independent_parallel-low-s11,A6_PAPER3_EVIDENCE_RADIUS0_ALL28,0,11692,52998,0,,0.6670786999166012,paper8-native-bug-ablation-v2,0.0,native,28,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,51,1,14,1,,14
0,independent_parallel-low-s11,LAYER_ABLATION_FULL_SELECTED_SPARSE4,0,11692,1,1,ANSWER= 0115878777777,4.613852599868551,paper8-native-bug-ablation-v2,0.0,native,72,1,2.0,4,"[11, 17, 23, 27]",1,51,51,2,102,1,full,51
0,independent_parallel-low-s11,LAYER_ABLATION_FULL_SELECTED_LATE1,0,11692,1,1,ANSWER= 1=<102587878789975454,5.039936399785802,paper8-native-bug-ablation-v2,0.0,native,24,1,2.0,1,[27],1,51,51,2,102,1,full,51
0,linear_dependency-low-s23,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=+xenon+zenith+acorn+drift+elm,3.828054799931124,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
1,linear_dependency-low-s23,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=elm+drift,1.6460766999516636,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,linear_dependency-low-s23,NATIVE_FULL_SESSION,0,11692,7,1,"</think>

ANSWER=task= [{""task"": ""t=Resolve legal_f7,verification_code"": ""t7",11.501492700073868,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,52,8,344,8,full,344
0,linear_dependency-low-s23,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= +elm,1.9727503000758588,paper8-native-bug-ablation-v2,0.5,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,49,2,86,2,full,86
0,linear_dependency-low-s23,A1_REQUIRED_RECORDS_FULL,0,11692,1,1,ANSWER= +elm,2.1728330000769347,paper8-native-bug-ablation-v2,0.5,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,49,2,86,2,full,86
0,linear_dependency-low-s23,A2_SELECTED_RECORDS_FULL,0,11692,1,1,ANSWER= +elm,2.076676500029862,paper8-native-bug-ablation-v2,0.5,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,86,49,4,172,2,full,86
0,linear_dependency-low-s23,A3_SELECTED_PLUS_REQUIRED_FULL,0,11692,1,1,ANSWER= +elm,2.1836115999612957,paper8-native-bug-ablation-v2,0.5,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,49,2,86,2,full,86
0,linear_dependency-low-s23,A4_A5_SELECTED_WINDOW_512,0,11692,1,1,ANSWER= +elm,2.0487949000671506,paper8-native-bug-ablation-v2,0.5,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,86,49,4,172,2,512,86
0,linear_dependency-low-s23,A4_A5_SELECTED_WINDOW_256,0,11692,1,1,ANSWER= +elm,2.1179330998566,paper8-native-bug-ablation-v2,0.5,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,86,49,4,172,2,256,86
0,linear_dependency-low-s23,A4_A5_SELECTED_WINDOW_128,0,11692,1,1,ANSWER= +elm,2.07489539985545,paper8-native-bug-ablation-v2,0.5,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,86,49,4,172,2,128,86
0,linear_dependency-low-s23,A4_A5_SELECTED_WINDOW_96,0,11692,1,1,ANSWER= +elm,2.1159365999046713,paper8-native-bug-ablation-v2,0.5,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,86,49,4,172,2,96,86
0,linear_dependency-low-s23,A4_A5_SELECTED_WINDOW_64,0,11692,1,1,ANSWER= +elm,2.0950655001215637,paper8-native-bug-ablation-v2,0.5,native,168,1,2.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,86,49,4,172,2,64,86
0,linear_dependency-low-s23,A4_A5_SELECTED_WINDOW_32,0,11692,1,1,ANSWER= +elm,1.9878022000193596,paper8-native-bug-ablation-v2,0.5,native,168,1,1.4883720930232558,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,42,49,4,128,2,32,86
