dataset,example_id,partition,question_type,annotated_hops,graph_type,seed,node_id,role,annotated_step,semantic_best_rank,lexical_rank,winning_facet,winning_scale,winning_token_start,winning_token_end,winning_question_offset,winning_decoded_span,target_score,best_distractor_score,oracle_margin,facet_count,score_seconds,winning_relative_midpoint,winning_position_bin,winning_hidden_norm,winning_top_parent_score,winning_top_parent_margin,winning_parent_score_entropy,winning_normalized_parent_score_entropy,question_tokens,selector_feature_scope
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,11,0,root,1,1,2,1,1,10,11,0,Did,-0.13160037994384766,-0.1470712125301361,0.015470832586288452,42,0.02773410000372678,0.038461538461538464,early,364.5784912109375,-0.131591796875,0.0155029296875,2.5552196502685547,0.9962067008018494,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,11,1,root,1,1,1,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.052551381289958954,-0.05062972754240036,0.10318110883235931,42,0.02773410000372678,1.6538461538461537,late,333.4228515625,0.05255126953125,0.103179931640625,2.5470917224884033,0.9930378794670105,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,23,0,root,1,1,2,7,1,16,17,6,Mind,0.24501848220825195,0.17007727921009064,0.07494120299816132,42,0.001832999987527728,0.5,middle,406.9946594238281,0.2449951171875,0.074951171875,2.5511975288391113,0.9946385622024536,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,23,1,root,1,1,1,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.37061887979507446,0.22038498520851135,0.1502338945865631,42,0.001832999987527728,1.6538461538461537,late,333.4228515625,0.37060546875,0.1502685546875,2.5375521183013916,0.9893186092376709,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,37,0,root,1,1,2,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,-0.33510345220565796,-0.37924134731292725,0.04413789510726929,42,0.0016938999760895967,1.6538461538461537,late,333.4228515625,-0.335205078125,0.0439453125,2.5551609992980957,0.9961838126182556,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,37,1,root,1,1,1,1,1,10,11,0,Did,-0.19289430975914001,-0.20606888830661774,0.013174578547477722,42,0.0016938999760895967,0.038461538461538464,early,364.5784912109375,-0.19287109375,0.01318359375,2.560023546218872,0.9980795979499817,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,53,0,root,1,1,2,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.14646126329898834,0.07430940121412277,0.07215186208486557,42,0.0016410999814979732,1.6538461538461537,late,333.4228515625,0.146484375,0.07220458984375,2.5403246879577637,0.9903995990753174,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,53,1,root,1,1,1,1,1,10,11,0,Did,0.12065756320953369,0.05997755378484726,0.06068000942468643,42,0.0016410999814979732,0.038461538461538464,early,364.5784912109375,0.12066650390625,0.060699462890625,2.5550599098205566,0.9961444139480591,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,71,0,root,1,1,2,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.1264725923538208,0.06647080928087234,0.060001783072948456,42,0.001854900037869811,1.6538461538461537,late,333.4228515625,0.12646484375,0.05999755859375,2.5346693992614746,0.9881947636604309,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,71,1,root,1,1,1,1,1,10,11,0,Did,0.19629351794719696,0.07998399436473846,0.1163095235824585,42,0.001854900037869811,0.038461538461538464,early,364.5784912109375,0.1962890625,0.1016845703125,2.5543453693389893,0.9958658218383789,13,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,11,0,root,1,4,1,20,1,29,30,19,?,-0.30461835861206055,-0.09455699473619461,-0.21006136387586594,75,0.0013287999900057912,0.975,late,337.3403625488281,-0.09454345703125,0.03253173828125,1.9405933618545532,0.9972677230834961,20,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,11,1,root,1,2,2,9,1,18,19,8,ce,-0.1570415049791336,-0.12038327008485794,-0.036658234894275665,75,0.0013287999900057912,0.425,middle,453.3539733886719,-0.120361328125,0.03662109375,1.944212794303894,0.9991277456283569,20,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,23,0,root,1,6,1,9,1,18,19,8,ce,-0.2391260266304016,-0.03731773421168327,-0.20180829241871834,75,0.002165100013371557,0.425,middle,453.3539733886719,-0.037322998046875,0.034210205078125,1.9431248903274536,0.9985687136650085,20,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,23,1,root,1,2,2,2,1,11,12,1,both,0.09647633135318756,0.1920868158340454,-0.09561048448085785,75,0.002165100013371557,0.075,early,339.7896423339844,0.192138671875,0.09564208984375,1.9396438598632812,0.9967797994613647,20,query states/provenance plus unlabeled parent scores
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,37,0,root,1,5,1,9,1,18,19,8,ce,-0.22226549685001373,-0.05312696844339371,-0.16913852840662003,75,0.0018070000223815441,0.425,middle,453.3539733886719,-0.053131103515625,0.080780029296875,1.9436677694320679,0.9988476634025574,20,query states/provenance plus unlabeled parent scores
