repository_id,query_id,query,relevant_path,mode,selected_path,recall,precision,selected_tokens,candidate_count
dynaspike,spike_probability,Where is membrane activation converted into a clipped spike probability?,src/spikeml/core/spikes.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,spike_probability,Where is membrane activation converted into a clipped spike probability?,src/spikeml/core/spikes.py,lexical,src/spikeml/core/signal.py,0.0,0.0,2973,8
dynaspike,spike_probability,Where is membrane activation converted into a clipped spike probability?,src/spikeml/core/spikes.py,learned,src/spikeml/core/signal.py,0.0,0.0,2973,8
dynaspike,spike_probability,Where is membrane activation converted into a clipped spike probability?,src/spikeml/core/spikes.py,fielded_bm25,src/spikeml/core/runner.py,0.0,0.0,4411,8
dynaspike,spike_probability,Where is membrane activation converted into a clipped spike probability?,src/spikeml/core/spikes.py,oracle,src/spikeml/core/spikes.py,1.0,1.0,80,8
dynaspike,constant_signal,Which module generates a constant DC signal repeated across time steps?,src/spikeml/core/signal.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,constant_signal,Which module generates a constant DC signal repeated across time steps?,src/spikeml/core/signal.py,lexical,src/spikeml/core/signal.py,1.0,1.0,2973,8
dynaspike,constant_signal,Which module generates a constant DC signal repeated across time steps?,src/spikeml/core/signal.py,learned,src/spikeml/core/signal.py,1.0,1.0,2973,8
dynaspike,constant_signal,Which module generates a constant DC signal repeated across time steps?,src/spikeml/core/signal.py,fielded_bm25,src/spikeml/core/signal.py,1.0,1.0,2973,8
dynaspike,constant_signal,Which module generates a constant DC signal repeated across time steps?,src/spikeml/core/signal.py,oracle,src/spikeml/core/signal.py,1.0,1.0,2973,8
dynaspike,property_monitor,Where is a reference object's properties tracked and stored over time?,src/spikeml/core/monitor.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,property_monitor,Where is a reference object's properties tracked and stored over time?,src/spikeml/core/monitor.py,lexical,src/spikeml/core/monitor.py,1.0,1.0,806,8
dynaspike,property_monitor,Where is a reference object's properties tracked and stored over time?,src/spikeml/core/monitor.py,learned,src/spikeml/core/monitor.py,1.0,1.0,806,8
dynaspike,property_monitor,Where is a reference object's properties tracked and stored over time?,src/spikeml/core/monitor.py,fielded_bm25,src/spikeml/core/monitor.py,1.0,1.0,806,8
dynaspike,property_monitor,Where is a reference object's properties tracked and stored over time?,src/spikeml/core/monitor.py,oracle,src/spikeml/core/monitor.py,1.0,1.0,806,8
dynaspike,asymmetric_error,Which module computes strict and non-strict asymmetric feedback error?,src/spikeml/core/feedback.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,asymmetric_error,Which module computes strict and non-strict asymmetric feedback error?,src/spikeml/core/feedback.py,lexical,src/spikeml/core/feedback.py,1.0,1.0,1712,8
dynaspike,asymmetric_error,Which module computes strict and non-strict asymmetric feedback error?,src/spikeml/core/feedback.py,learned,src/spikeml/core/feedback.py,1.0,1.0,1712,8
dynaspike,asymmetric_error,Which module computes strict and non-strict asymmetric feedback error?,src/spikeml/core/feedback.py,fielded_bm25,src/spikeml/core/feedback.py,1.0,1.0,1712,8
dynaspike,asymmetric_error,Which module computes strict and non-strict asymmetric feedback error?,src/spikeml/core/feedback.py,oracle,src/spikeml/core/feedback.py,1.0,1.0,1712,8
dynaspike,one_hot,Where are integer class labels converted into a one-hot matrix?,src/spikeml/datasets/encoder.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,one_hot,Where are integer class labels converted into a one-hot matrix?,src/spikeml/datasets/encoder.py,lexical,src/spikeml/core/signal.py,0.0,0.0,2973,8
dynaspike,one_hot,Where are integer class labels converted into a one-hot matrix?,src/spikeml/datasets/encoder.py,learned,src/spikeml/core/signal.py,0.0,0.0,2973,8
dynaspike,one_hot,Where are integer class labels converted into a one-hot matrix?,src/spikeml/datasets/encoder.py,fielded_bm25,src/spikeml/core/signal.py,0.0,0.0,2973,8
dynaspike,one_hot,Where are integer class labels converted into a one-hot matrix?,src/spikeml/datasets/encoder.py,oracle,src/spikeml/datasets/encoder.py,1.0,1.0,32,8
dynaspike,stats_matrix,Which module plots a statistics matrix with error bars and sample scatter points?,src/spikeml/plot/plot_stats.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,stats_matrix,Which module plots a statistics matrix with error bars and sample scatter points?,src/spikeml/plot/plot_stats.py,lexical,src/spikeml/core/runner.py,0.0,0.0,4411,8
dynaspike,stats_matrix,Which module plots a statistics matrix with error bars and sample scatter points?,src/spikeml/plot/plot_stats.py,learned,src/spikeml/core/runner.py,0.0,0.0,4411,8
dynaspike,stats_matrix,Which module plots a statistics matrix with error bars and sample scatter points?,src/spikeml/plot/plot_stats.py,fielded_bm25,src/spikeml/plot/plot_stats.py,1.0,1.0,601,8
dynaspike,stats_matrix,Which module plots a statistics matrix with error bars and sample scatter points?,src/spikeml/plot/plot_stats.py,oracle,src/spikeml/plot/plot_stats.py,1.0,1.0,601,8
dynaspike,simulation_context,Where is the timestep and phase execution context for neural simulations defined?,src/spikeml/core/runner.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,simulation_context,Where is the timestep and phase execution context for neural simulations defined?,src/spikeml/core/runner.py,lexical,src/spikeml/core/runner.py,1.0,1.0,4411,8
dynaspike,simulation_context,Where is the timestep and phase execution context for neural simulations defined?,src/spikeml/core/runner.py,learned,src/spikeml/core/runner.py,1.0,1.0,4411,8
dynaspike,simulation_context,Where is the timestep and phase execution context for neural simulations defined?,src/spikeml/core/runner.py,fielded_bm25,src/spikeml/core/runner.py,1.0,1.0,4411,8
dynaspike,simulation_context,Where is the timestep and phase execution context for neural simulations defined?,src/spikeml/core/runner.py,oracle,src/spikeml/core/runner.py,1.0,1.0,4411,8
dynaspike,parameter_ranges,Which module extracts bounded parameter search ranges from a Pydantic model?,src/spikeml/core/optimize.py,all_valid,src/spikeml/core/feedback.py,1.0,0.125,11461,8
dynaspike,parameter_ranges,Which module extracts bounded parameter search ranges from a Pydantic model?,src/spikeml/core/optimize.py,lexical,src/spikeml/core/optimize.py,1.0,1.0,846,8
dynaspike,parameter_ranges,Which module extracts bounded parameter search ranges from a Pydantic model?,src/spikeml/core/optimize.py,learned,src/spikeml/core/optimize.py,1.0,1.0,846,8
dynaspike,parameter_ranges,Which module extracts bounded parameter search ranges from a Pydantic model?,src/spikeml/core/optimize.py,fielded_bm25,src/spikeml/core/optimize.py,1.0,1.0,846,8
dynaspike,parameter_ranges,Which module extracts bounded parameter search ranges from a Pydantic model?,src/spikeml/core/optimize.py,oracle,src/spikeml/core/optimize.py,1.0,1.0,846,8
cognitive_coprocessors,unit_conversion,Where is exact bounded unit conversion with dimensional validation implemented?,src/ccpu/paper2/units.py,all_valid,src/ccpu/paper2/graph.py,1.0,0.125,7739,8
cognitive_coprocessors,unit_conversion,Where is exact bounded unit conversion with dimensional validation implemented?,src/ccpu/paper2/units.py,lexical,src/ccpu/paper2/units.py,1.0,1.0,441,8
cognitive_coprocessors,unit_conversion,Where is exact bounded unit conversion with dimensional validation implemented?,src/ccpu/paper2/units.py,learned,src/ccpu/paper2/units.py,1.0,1.0,441,8
cognitive_coprocessors,unit_conversion,Where is exact bounded unit conversion with dimensional validation implemented?,src/ccpu/paper2/units.py,fielded_bm25,src/ccpu/paper2/units.py,1.0,1.0,441,8
cognitive_coprocessors,unit_conversion,Where is exact bounded unit conversion with dimensional validation implemented?,src/ccpu/paper2/units.py,oracle,src/ccpu/paper2/units.py,1.0,1.0,441,8
