query_id,split,hardness_level,language,query,context,required_tool,useful_tools,related_tools,unsafe_tools,canonical_operation,canonical_object,variant,mode,top1_tool,top1_correct,required_rank,mrr,recall_at_1,recall_at_3,recall_at_5,top1_score,margin,top3_tools,useful_at_3,related_at_3,unsafe_at_3,false_action,token_overlap,bm25_required_score,bm25_required_rank,canonical_operation_present,canonical_object_present,tool_name_or_alias_present,language_match,routing_seconds,index_bytes,model_bytes,candidate_count,decision,selected_stage,calibrated_confidence
search_user-h0-en-0,audit,H0,en,Search for the user with email alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,search_user,True,1,1.0,1.0,1.0,1.0,0.29700979590415955,0.09651759266853333,search_user|update_user|search_document,0,1,0,False,0.3333333333333333,1.0,1,True,True,False,True,0.009926499798893929,13427,0,18,select,P0_token,
search_user-h0-en-1,test,H0,en,Find a user account by email alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,search_user,True,1,1.0,1.0,1.0,1.0,0.2522328495979309,0.029972955584526062,search_user|validate_user|update_user,0,2,0,False,0.6666666666666666,1.0,1,False,True,False,True,0.00644240016117692,13427,0,18,select,P0_token,
search_user-h0-en-2,validation,H0,en,Search users for alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,2,P0_token,search_user,True,1,1.0,1.0,1.0,1.0,0.3742063343524933,0.11402532458305359,search_user|search_repository|search_document,0,0,0,False,0.16666666666666666,0.9541984796524048,3,True,False,True,True,0.008203000063076615,13427,0,18,select,P0_token,
search_user-h1-en-0,validation,H1,en,Locate the account tied to alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,update_user,False,18,0.05555555555555555,0.0,0.0,0.0,0.14772726595401764,0.0041307806968688965,update_user|validate_user|update_document,0,2,0,True,0.125,0.3459242582321167,4,False,False,False,True,0.006382300052791834,13427,0,18,select,P0_token,
search_user-h1-en-1,test,H1,en,Look up whoever registered with alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,get_repository,False,15,0.06666666666666667,0.0,0.0,0.0,0.1269841343164444,0.004108317196369171,get_repository|archive_report|search_repository,0,0,0,True,0.0,0.0,1,False,False,False,True,0.008229900151491165,13427,0,18,select,P0_token,
search_user-h2-en-0,validation,H2,en,Who's behind alice@example.com?,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,create_report,False,12,0.08333333333333333,0.0,0.0,0.0,0.1627907007932663,0.0036997944116592407,create_report|archive_report|validate_user,0,1,0,True,0.0,0.0,1,False,False,False,True,0.005747700110077858,13427,0,18,select,P0_token,
search_user-h2-en-1,test,H2,en,Can you track down alice@example.com for me?,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,create_report,False,16,0.0625,0.0,0.0,0.0,0.1607142835855484,0.020363405346870422,create_report|archive_report|update_document,0,0,0,True,0.0,0.0,1,False,False,False,True,0.007918900111690164,13427,0,18,select,P0_token,
search_user-h3-en-0,validation,H3,en,I only have Alice's email and need her internal identifier.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,validate_user,False,12,0.08333333333333333,0.0,0.0,0.0,0.1376696527004242,0.01553913950920105,validate_user|read_document|update_document,0,1,0,True,0.09090909090909091,1.0,1,False,False,False,True,0.007535299984738231,13427,0,18,select,P0_token,
search_user-h3-en-1,test,H3,en,We need to identify the person who signed up with alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,notify_user,False,11,0.09090909090909091,0.0,0.0,0.0,0.12522068619728088,0.033033184707164764,notify_user|read_document|search_document,0,1,0,True,0.0,0.0,3,False,False,False,True,0.009414999978616834,13427,0,18,select,P0_token,
search_user-h4-en-0,validation,H4,en,Which account is hers?,"Alice signed up with alice@example.com, but I do not know her internal ID.",search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,export_document,False,2,0.5,0.0,1.0,1.0,0.10457596927881241,0.0039044171571731567,export_document|search_user|validate_user,0,1,0,True,0.05555555555555555,0.9340659379959106,2,False,False,False,True,0.011592800030484796,13427,0,18,select,P0_token,
search_user-h4-en-1,test,H4,en,Resolve who sent it.,The support request came from alice@example.com. The CRM identifier is missing.,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,export_document,False,18,0.05555555555555555,0.0,0.0,0.0,0.10855911672115326,0.010001935064792633,export_document|update_issue|extract_metadata,0,0,0,True,0.0,0.0,7,False,False,False,True,0.00975609989836812,13427,0,18,select,P0_token,
search_user-h5-pt-0,validation,H5,pt,Encontre a conta associada a alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,create_report,False,13,0.07692307692307693,0.0,0.0,0.0,0.20458468794822693,0.04865694046020508,create_report|create_issue|extract_metadata,0,0,0,True,0.14285714285714285,0.0,5,False,False,False,False,0.011229300172999501,13427,0,18,select,P0_token,
search_user-h5-pt-1,test,H5,pt,Descubra quem se registou com alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,extract_metadata,False,16,0.0625,0.0,0.0,0.0,0.1269841343164444,0.001984134316444397,extract_metadata|search_repository|create_report,0,0,0,True,0.0,0.0,1,False,False,False,False,0.013982899952679873,13427,0,18,select,P0_token,
search_user-h5-es-0,validation,H5,es,Encuentra la cuenta asociada a alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,extract_metadata,False,11,0.09090909090909091,0.0,0.0,0.0,0.18411989510059357,0.04436579346656799,extract_metadata|create_report|archive_report,0,0,0,True,0.125,0.0,6,False,False,False,False,0.006938700098544359,13427,0,18,select,P0_token,
search_user-h5-es-1,test,H5,es,Averigua quien se registro con alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,validate_user,False,13,0.07692307692307693,0.0,0.0,0.0,0.12699899077415466,0.0020957663655281067,validate_user|archive_report|search_repository,0,1,0,True,0.0,0.0,1,False,False,False,False,0.012013199971988797,13427,0,18,select,P0_token,
search_user-h5-fr-0,validation,H5,fr,Trouvez le compte associe a alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,0,P0_token,delete_user,False,14,0.07142857142857142,0.0,0.0,0.0,0.16785714030265808,0.002506256103515625,delete_user|create_issue|update_issue,0,1,1,True,0.125,0.0,2,False,False,False,False,0.014101300155743957,13427,0,18,select,P0_token,
search_user-h5-fr-1,test,H5,fr,Identifiez la personne inscrite avec alice@example.com.,,search_user,(),"('delete_user', 'get_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",search,user,1,P0_token,create_report,False,14,0.07142857142857142,0.0,0.0,0.0,0.11940298229455948,0.0017559230327606201,create_report|get_repository|notify_user,0,1,0,True,0.0,0.0,1,False,False,False,False,0.012445800006389618,13427,0,18,select,P0_token,
get_user-h0-en-0,audit,H0,en,Retrieve user u17.,,get_user,"('search_user',)","('delete_user', 'notify_user', 'update_user', 'validate_user')","('delete_user', 'purge_archive')",get,user,0,P0_token,get_user,True,1,1.0,1.0,1.0,1.0,0.4466666579246521,0.049285709857940674,get_user|delete_user|update_user,0,2,1,False,0.6666666666666666,1.0,1,False,True,False,True,0.0073321000672876835,13427,0,18,select,P0_token,
