partition,dataset,example_id,seed,root_mode,root_parent,entry_facet,K_search,B_ceiling,theta_edge,theta_goal,hop,source_parent,candidate_parent,native_edge_rank,native_edge_score,passed_edge_threshold,duplicate,cycle,admitted,goal_best_facet,goal_score,goal_triggered,goal_correct,path,path_quality,visited_count,frontier_size,oracle_recall,oracle_precision,complete_oracle,chain_complete,raw_proposals,search_comparisons,goal_comparisons,search_time,peak_gpu_memory,active_kv_tokens
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,1,2,3,1,12.493000030517578,True,False,False,True,2,-0.07952220737934113,False,False,"[2, 3]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,1,2,0,2,12.481653213500977,True,False,False,True,14,-0.04125136509537697,False,False,"[2, 0]",12.481653213500977,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,1,2,4,3,12.467657089233398,True,False,False,True,7,0.032787203788757324,False,False,"[2, 4]",12.467657089233398,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,1,2,1,4,12.440403938293457,True,False,False,True,7,-0.28169047832489014,False,False,"[2, 1]",12.440403938293457,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,2,3,2,1,12.736727714538574,True,True,True,False,,,False,False,"[2, 3, 2]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,2,3,4,2,12.714035987854004,True,True,False,False,,,False,False,"[2, 3, 4]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,2,3,0,3,12.70865249633789,True,True,False,False,,,False,False,"[2, 3, 0]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",4,6,,,2,3,1,4,12.660704612731934,True,True,False,False,,,False,False,"[2, 3, 1]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,2.119072099972982,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,1,2,3,1,12.493000030517578,True,False,False,True,0,0.21930208802223206,False,False,"[2, 3]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,1,2,0,2,12.481653213500977,True,False,False,True,14,0.33479470014572144,False,False,"[2, 0]",12.481653213500977,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,1,2,4,3,12.467657089233398,True,False,False,True,7,0.1924157291650772,False,False,"[2, 4]",12.467657089233398,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,1,2,1,4,12.440403938293457,True,False,False,True,15,0.1467408835887909,False,False,"[2, 1]",12.440403938293457,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,2,3,2,1,12.736727714538574,True,True,True,False,,,False,False,"[2, 3, 2]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,2,3,4,2,12.714035987854004,True,True,False,False,,,False,False,"[2, 3, 4]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,2,3,0,3,12.70865249633789,True,True,False,False,,,False,False,"[2, 3, 0]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",4,6,,,2,3,1,4,12.660704612731934,True,True,False,False,,,False,False,"[2, 3, 1]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.011717699992004782,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,1,2,3,1,12.493000030517578,True,False,False,True,15,-0.15118801593780518,False,False,"[2, 3]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,1,2,0,2,12.481653213500977,True,False,False,True,15,-0.20870471000671387,False,False,"[2, 0]",12.481653213500977,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,1,2,4,3,12.467657089233398,True,False,False,True,15,-0.02984301745891571,False,False,"[2, 4]",12.467657089233398,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,1,2,1,4,12.440403938293457,True,False,False,True,15,-0.39331334829330444,False,False,"[2, 1]",12.440403938293457,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,2,3,2,1,12.736727714538574,True,True,True,False,,,False,False,"[2, 3, 2]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,2,3,4,2,12.714035987854004,True,True,False,False,,,False,False,"[2, 3, 4]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,2,3,0,3,12.70865249633789,True,True,False,False,,,False,False,"[2, 3, 0]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",4,6,,,2,3,1,4,12.660704612731934,True,True,False,False,,,False,False,"[2, 3, 1]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.01098610000917688,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",4,6,,,1,2,3,1,12.493000030517578,True,False,False,True,0,0.02834666520357132,False,False,"[2, 3]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.008576599997468293,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",4,6,,,1,2,0,2,12.481653213500977,True,False,False,True,7,0.051390424370765686,False,False,"[2, 0]",12.481653213500977,5,4,1.0,0.4,1.0,1.0,8,8,72,0.008576599997468293,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",4,6,,,1,2,4,3,12.467657089233398,True,False,False,True,7,0.07205162942409515,False,False,"[2, 4]",12.467657089233398,5,4,1.0,0.4,1.0,1.0,8,8,72,0.008576599997468293,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",4,6,,,1,2,1,4,12.440403938293457,True,False,False,True,15,-0.1752699911594391,False,False,"[2, 1]",12.440403938293457,5,4,1.0,0.4,1.0,1.0,8,8,72,0.008576599997468293,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",4,6,,,2,3,2,1,12.736727714538574,True,True,True,False,,,False,False,"[2, 3, 2]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.008576599997468293,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",4,6,,,2,3,4,2,12.714035987854004,True,True,False,False,,,False,False,"[2, 3, 4]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.008576599997468293,8526848,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",4,6,,,2,3,0,3,12.70865249633789,True,True,False,False,,,False,False,"[2, 3, 0]",12.493000030517578,5,4,1.0,0.4,1.0,1.0,8,8,72,0.008576599997468293,8526848,0
