active_layers,case_id,condition,exact_short_answer,family,first_token_rank,latency_seconds,max_logit_error_vs_visible,mean_logit_error_vs_visible,model,native_tokens_per_layer,physical_kv_bytes,record_id,top_token_equal_visible,topology_coverage
16,capital,VISIBLE_PREFIX,1,llama3,1,0.334064899943769,0.0,0.0,llama,0,0,record-capital,1,all_decoder_layers
16,capital,NATIVE_FULL_REFERENCE,1,llama3,1,0.8636968999635428,0.0234375,0.0032692088279873133,llama,7,229376,record-capital,1,all_decoder_layers
16,capital,NATIVE_SELECTED_FULL_RECORD,1,llama3,1,0.37835909985005856,0.0234375,0.0032692088279873133,llama,7,229376,record-capital,1,all_decoder_layers
8,capital,NATIVE_CANONICAL_SPARSE_PROFILE,1,llama3,1,0.3035228999797255,5.375,0.7737754583358765,llama,7,114688,record-capital,1,all_decoder_layers
16,color,VISIBLE_PREFIX,0,llama3,2,0.24395809997804463,0.0,0.0,llama,0,0,record-color,1,all_decoder_layers
16,color,NATIVE_FULL_REFERENCE,0,llama3,2,0.3265480000991374,0.015625,0.003160289255902171,llama,6,196608,record-color,1,all_decoder_layers
16,color,NATIVE_SELECTED_FULL_RECORD,0,llama3,2,0.32501960010267794,0.015625,0.003160289255902171,llama,6,196608,record-color,1,all_decoder_layers
8,color,NATIVE_CANONICAL_SPARSE_PROFILE,0,llama3,5,0.2793618000578135,6.44921875,1.177258849143982,llama,6,98304,record-color,0,all_decoder_layers
16,code,VISIBLE_PREFIX,1,llama3,1,0.24744669999927282,0.0,0.0,llama,0,0,record-code,1,all_decoder_layers
16,code,NATIVE_FULL_REFERENCE,1,llama3,1,0.35584780015051365,0.015625,0.002657748991623521,llama,7,229376,record-code,1,all_decoder_layers
16,code,NATIVE_SELECTED_FULL_RECORD,1,llama3,1,0.3473422999959439,0.015625,0.002657748991623521,llama,7,229376,record-code,1,all_decoder_layers
8,code,NATIVE_CANONICAL_SPARSE_PROFILE,0,llama3,10,0.3160961999092251,6.484375,1.0085183382034302,llama,7,114688,record-code,0,all_decoder_layers
